"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","16,829"
"2","Number of persons tested positive today in Tamil Nadu","2,138"
"","Passengers returned from other countries  by 
International airport tested positive today","Malaysia-4"
"","Total","2,142"
"3","Total Number of persons tested positive till date","35,22,142"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","31,116/ 
6,77,53,367@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","30,376/ 
6,65,59,268"
"6","No. of Male / Female / Transgender tested positive today","1,244/898/0"
"7","No. of Male / Female / Transgender tested positive till date","20,53,467/14,68,637/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","338 (70 Govt+ 
268 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","2,219/ 
34,67,283"
"10","Total number of deaths today/ till date","0 (0 Private &  
0 Govt) /38,030"
