"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
31-12-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","280","182976","181153[43]","99.00","926","897","5594","10965","4271526"
"2","Faridabad","26","100196","99325[7]","99.13","717","154","5974","12227","3127498"
"3","Hisar","2","54012","52865","97.88","1137","10","13462","23922","1870845"
"4","Sonepat","11","47177","46893[1]","99.40","254","30","7767","12709","1807786"
"5","Karnal","12","40098","39514[1]","98.54","554","30","6684","13636","1896961"
"6","Panipat","8","31179","30520","97.89","638","21","6982","13186","1582270"
"7","Panchkula","23","31000","30533[2]","98.49","381","86","2180","4280","892546"
"8","Ambala","30","30241","29652","98.05","509","80","2068","2416","1796549"
"9","Sirsa","1","29307","28793","98.25","509","5","10369","16648","1618618"
"10","Rohtak","8","25939","25372","97.81","534","16","5261","6542","1296175"
"11","Yamunanagar","5","24691","24248","98.21","414","29","1927","8308","1458853"
"12","Bhiwani","1","22414","21760[1]","97.08","652","2","3528","10117","1464073"
"13","Kurukshetra","6","22188","21807","98.28","358","23","3470","6603","1145781"
"14","Mahindergarh","4","21693","21534","99.27","156","3","2893","6779","1109198"
"15","Jind","1","21215","20677","97.46","533","5","7579","10273","1354021"
"16","Rewari","2","20335","20109","98.89","221","5","2583","6368","1283048"
"17","Jhajjar","5","18864","18519[1]","98.17","328","11","4237","8696","1270183"
"18","Fatehabad","1","17882","17398","97.29","482","2","5207","12589","1001292"
"19","Kaithal","0","11253","10904","96.90","346","3","10248","6829","1359450"
"20","Palwal","0","11031","10877","98.60","153","1","2601","5838","1164391"
"21","Charkhi Dadri","0","5081","4940","97.22","139","2","810","1858","716328"
"22","Nuh","1","5016","4891","97.51","123","2","1992","6218","866139"
"Haryana","","427","773788","762284[56]","98.51","10064","1417","113416","207007","34353531"
