"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested 
Since 
01.01.2022","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
Since 
01.01.2022","Positive 
in last 24 
hours","Positive 
Cumulative 
Since 
01.01.2022","",""
"Almora","150","10","55060","0","4473","59527","287"
"Bageshwar","134","487","30388","2","2082","32466","226"
"Chamoli","39","476","39087","0","3180","42265","211"
"Champawat","434","112","47378","1","1896","49271","1374"
"Dehradun","637","1807","323716","20","32634","356215","342"
"Haridwar","109","360","287009","3","12902","299881","155"
"Nainital","91","160","63370","0","11252","74552","222"
"Pauri Garhwal","863","543","73696","2","5227","78916","505"
"Pithoragarh","6","4","33625","0","2539","36152","104"
"Rudraprayag","32","161","22597","2","2692","25289","70"
"Tehri Garhwal","48","219","26079","0","2342","28414","59"
"US Nagar","473","1131","113701","0","8768","122445","535"
"Uttarkashi","136","313","28793","0","1634","30425","64"
"Total","3152","5783","1144499","30","91621","1235818","4154"
