"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 22-09-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","36","132","300039","298882 [28] ↑","99.61%","1025","52","112","496","5704939"
"2","Faridabad","2","29","135578","134808 [5] ↑","99.43%","741","25","40","277","4177962"
"3  Hisar","","5","21","63838","62635 [3] ↑","98.12%","1182","11","99","219","2432824"
"4","Sonipat","1","4","59573","59293","99.53%","276","15","119","129","2357092"
"5","Karnal","1","10","49867","49257 [4] ↑","98.78%","600","59","149","108","2465449"
"6","Panchkula","1","8","48316","47887 [4] ↑","99.11%","421","6","77","47","1177336"
"7","Ambala","4","25","42817","42250 [4] ↑","98.68%","542","13","135","230","2207016"
"8","Panipat","0","4","36743","36062 [3] ↑","98.15%","677","2","40","100","2129467"
"9","Sirsa","1","2","34207","33659 [1] ↑","98.40%","546","18","61","187","1987606"
"10  Rohtak","","2","9","33156","32593 [3] ↑","98.30%","537","9","282","186","1812548"
"","11  Yamunanagar","3","16","32634","32160 [4] ↑","98.55%","458","108","397","61","2038297"
"12  Kurukshetra","","3","16","27798","27376","98.48%","406","22","47","189","1625851"
"13  Bhiwani","","1","15","27160","26478 [3] ↑","97.49%","667","16","84","57","1880484"
"14","Jind","0","7","25404","24853 [4] ↑","97.83%","544","31","95","140","1780224"
"","15  Mahendragarh","2","2","24999","24832 [2] ↑","99.33%","165","63","98","153","1446451"
"16  Rewari","","1","3","24982","24755","99.09%","224","88","123","360","1626777"
"17","Jhajjar","0","2","24089","23727 [1] ↑","98.50%","354","8","50","100","1633675"
"18  Fatehabad","","0","4","20290","19786","97.52%","500","77","122","91","1213988"
"19  Kaithal","","0","9","15192","14808 [1] ↑","97.47%","375","7","20","641","1892434"
"20  Palwal","","0","2","13656","13479","98.70%","175 [1] ↑","12","47","93","1577213"
"","21  Charkhi Dadri","0","1","8069","7921 [2] ↑","98.17%","147","10","16","45","953996"
"22  Nuh","","0","2","6179","6038","97.72%","139","0","0","1","1227251"
"HARYANA","","63","323","1054586","1043539 [72] ↑","","98.95%  10701 [1] ↑","652","2213","3910","45348880"
