"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","56","35734","55","34979","421","1","334","0"
"2","Ballari","736","102101","31","96366","4046","0","1689","0"
"3","Belagavi","390","83552","115","79653","2949","1","950","0"
"4","Bengaluru Rural","785","67605","186","61981","4728","0","896","0"
"5","Bengaluru Urban","24135","1482484","18081","1281636","184377","5","16470","1"
"6","Bidar","291","25785","5","24302","1075","0","404","4"
"7","Chamarajanagara","261","34486","174","32993","977","0","505","11"
"8","Chikkaballapura","863","46823","21","43813","2572","1","437","1"
"9","Chikkamagaluru","355","53342","89","51391","1553","0","398","0"
"10","Chitradurga","382","38542","56","36724","1604","0","214","0"
"11","Dakshina 
Kannada","983","124288","370","117000","5574","3","1707","7"
"12","Davanagere","171","52547","45","50777","1161","0","609","0"
"13","Dharwada","637","66684","306","61466","3889","0","1327","2"
"14","Gadag","100","26958","36","25898","740","1","320","0"
"15","Hassana","1785","121418","447","112007","8143","1","1266","2"
"16","Haveri","55","22233","17","21384","206","0","643","0"
"17","Kalaburagi","872","66166","287","62221","3117","0","828","0"
"18","Kodagu","165","38926","155","37723","864","0","338","1"
"19","Kolara","491","51280","233","47511","3125","0","644","0"
"20","Koppala","162","35882","36","34825","529","0","528","0"
"21","Mandya","1340","81128","789","76212","4257","0","659","0"
"22","Mysuru","1341","191803","641","180264","9097","4","2442","0"
"23","Raichuru","153","41178","60","39744","1100","1","334","0"
"24","Ramanagara","367","26054","101","24162","1565","0","327","0"
"25","Shivamogga","382","72681","126","69198","2392","1","1091","0"
"26","Tumakuru","1804","131569","258","120917","9503","1","1149","0"
"27","Udupi","683","83019","220","77764","4764","0","491","0"
"28","Uttara Kannada","522","59852","204","56654","2418","0","780","0"
"29","Vijayapura","151","37219","64","36070","652","1","497","0"
"30","Yadagiri","81","27824","1","27366","252","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","40499","3329199","23209","3023034","267650","21","38486","29"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 19-01-2022 
 Page 5 of 49","","","","","","","","",""
