Date,Cumulative_Tested
2021-10-31,50873103
2021-11-01,50947027
2021-11-02,51007738
2021-11-03,51084158
2021-11-04,51137646
2021-11-05,51217791
2021-11-06,51276935
2021-11-07,51387155
2021-11-08,51492433
2021-11-09,51572429
2021-11-10,51690177
2021-11-11,51801367
2021-11-12,51904536
2021-11-13,52005655
2021-11-14,52102493
2021-11-15,52169089
2021-11-16,52236082
2021-11-17,52340172
2021-11-18,52426862
2021-11-19,52516577
2021-11-20,52596667
2021-11-21,52674704
2021-11-22,52730403
2021-11-23,52782021
2021-11-24,52847392
2021-11-25,52931905
2021-11-26,52998710
2021-11-27,53093361
2021-11-28,53171179
2021-11-29,53228004
2021-11-30,53289808
2021-12-01,53391586
2021-12-02,53497886
2021-12-03,53603765
2021-12-04,53716702
2021-12-05,53827258
2021-12-06,53915645
2021-12-07,53996839
2021-12-08,54112980
2021-12-09,54231207
2021-12-10,54350973
2021-12-11,54456951
2021-12-12,54575647
2021-12-13,54655864
2021-12-14,54727172
2021-12-15,54847017
2021-12-16,54976428
2021-12-17,55093486
2021-12-18,55211518
2021-12-19,55324042
2021-12-20,55411511
2021-12-21,55487150
2021-12-22,55585047
2021-12-23,55712145
2021-12-24,55826704
2021-12-25,55924486
2021-12-26,55998380
2021-12-27,56056875
2021-12-28,56126868
2021-12-29,56235594
2021-12-30,56350280
2021-12-31,56468197
2022-01-01,56587422
2022-01-02,56696333
2022-01-03,56776742
2022-01-04,56872133
2022-01-05,56999461
2022-01-06,57126655
2022-01-07,57329915
2022-01-08,57494176
2022-01-09,57683675
2022-01-10,57834154
2022-01-11,57974606
2022-01-12,58169653
2022-01-13,58371357
2022-01-14,58592562
2022-01-15,58811041
2022-01-16,58987511
2022-01-17,59205509
2022-01-18,59391381
2022-01-19,59606693
2022-01-20,59864983
2022-01-21,60114815
2022-01-22,60334514
2022-01-23,60554973
2022-01-24,60695857
2022-01-25,60850911
2022-01-26,61068141
2022-01-27,61254454
2022-01-28,61403628
2022-01-29,61575690
2022-01-30,61748173
2022-01-31,61889413
2022-02-01,61996212
2022-02-02,62159532
2022-02-03,62304736
2022-02-04,62441513
2022-02-05,62574309
2022-02-06,62703646
2022-02-07,62802900
2022-02-08,62891697
2022-02-09,63020402
2022-02-10,63138358
2022-02-11,63252660
2022-02-12,63361194
2022-02-13,63463473
2022-02-14,63533019
2022-02-15,63606305
2022-02-16,63705821
2022-02-17,63796509
2022-02-18,63879864
2022-02-19,63959176
2022-02-20,64029466
2022-02-21,64081971
2022-02-22,64140430
2022-02-23,64213345
2022-02-24,64282733
2022-02-25,64350316
2022-02-26,64411356
2022-02-27,64463831
2022-02-28,64501885
2022-03-01,64540275
2022-03-02,64581173
2022-03-03,64617588
2022-03-04,64666055
2022-03-05,64718270
2022-03-06,64766580
2022-03-07,64799038
2022-03-08,64840543
2022-03-09,64896372
2022-03-10,64944764
2022-03-11,64988689
2022-03-12,65036165
2022-03-13,65072788
2022-03-14,65095838
2022-03-15,65121893
2022-03-16,65162990
2022-03-17,65200254
2022-03-18,65236580
2022-03-19,65267298
2022-03-20,65295136
2022-03-21,65315408
2022-03-22,65337026
2022-03-23,65369941
2022-03-24,65401956
2022-03-25,65432789
2022-03-26,65462161
2022-03-27,65488757
2022-03-28,65505308
2022-03-29,65526523
2022-03-30,65554100
2022-03-31,65578131
2022-04-01,65599426
2022-04-02,65616843
2022-04-03,65627686
2022-04-04,65632769
2022-04-05,65645145
2022-04-06,65658969
2022-04-07,65670139
2022-04-08,65681998
2022-04-09,65691794
2022-04-10,65701775
2022-04-11,65706116
2022-04-12,65714448
2022-04-13,65724871
2022-04-14,65734990
2022-04-15,65742612
2022-04-16,65748719
2022-04-17,65755907
2022-04-18,65761208
2022-04-19,65769121
2022-04-20,65778825
2022-04-21,65788539
2022-04-22,65799091
2022-04-23,65809209
2022-04-24,65817472
2022-04-25,65822109
2022-04-26,65829280
2022-04-27,65840081
2022-04-28,65850400
2022-04-29,65861815
2022-04-30,65871759
2022-05-01,65882325
2022-05-02,65888549
2022-05-03,65895663
2022-05-04,65903700
2022-05-05,65915530
2022-05-06,65931289
2022-05-07,65946936
2022-05-08,65964209
2022-05-09,65975351
2022-05-10,65988893
2022-05-11,66006969
2022-05-12,66024970
2022-05-13,66044470
2022-05-14,66063515
2022-05-15,66082081
2022-05-16,66093785
2022-05-17,66107757
2022-05-18,66128645
2022-05-19,66147786
2022-05-20,66168230
