Date,Cumulative_Tested,Column 3
2022-05-23,38373595,
2022-05-24,38392046,
2022-05-25,38414536,
2022-05-26,38437373,
2022-05-27,38459189,
2022-05-28,38481103,
2022-05-29,38500581,
2022-05-30,38509349,
2022-05-31,38526720,
2022-06-01,38547867,
2022-06-02,38568062,
2022-06-03,38586396,
2022-06-04,38605958,
2022-06-05,38623875,
2022-06-06,38631003,
2022-06-07,38654407,
2022-06-08,38674283,
2022-06-09,38693902,
2022-06-10,38714946,
2022-06-11,38734272,
2022-06-12,38751150,
2022-06-13,38759850,
2022-06-14,38777060,
2022-06-15,38796682,
2022-06-16,38816458,
2022-06-17,38838436,
2022-06-18,38858325,
2022-06-19,38876508,
2022-06-20,38887014,
2022-06-21,38906179,
2022-06-22,38919278,
2022-06-23,38943157,
2022-06-24,38967360,
2022-06-25,38975904,
2022-06-26,39005508,
2022-06-27,39013301,
2022-06-28,39030167,
2022-06-29,39049053,
2022-06-30,39068488,
2022-07-01,39083827,
2022-07-02,39100864,
2022-07-03,39115967,
2022-07-04,39123969,
2022-07-05,39139798,
2022-07-06,39158159,
2022-07-07,39174914,
2022-07-08,39191870,
2022-07-09,39208028,
2022-07-10,39222651,
2022-07-11,39229296,
2022-07-12,39243007,
2022-07-13,39258502,
2022-07-14,39273616,
2022-07-15,39290115,
2022-07-16,39304228,
2022-07-17,39318187,
2022-07-18,39324423,
2022-07-19,39337875,
2022-07-20,39352350,
2022-07-21,39368324,
2022-07-22,39384267,
2022-07-23,39398896,
2022-07-24,39411993,
2022-07-25,39417650,
2022-07-26,39429859,
2022-07-27,39445292,
2022-07-28,39462480,
2022-07-29,39479404,
2022-07-30,39495301,
2022-07-31,39508812,
2022-08-01,39516017,
2022-08-02,39530182,
2022-08-03,39547997,
2022-08-04,39566593,
2022-08-05,39585278,
2022-08-06,39601980,
2022-08-07,39618166,
2022-08-08,39625852,
2022-08-09,39642039,
2022-08-10,39654075,
2022-08-11,39673035,
2022-08-12,39687260,
2022-08-13,39703719,
2022-08-14,39720825,
2022-08-15,39729246,
2022-08-16,39734021,
2022-08-17,39750679,
2022-08-18,39771523,
2022-08-19,39790352,
2022-08-20,39800226,
2022-08-21,39813227,
2022-08-22,39819971,
2022-08-23,39835602,
2022-08-24,39852626,
2022-08-25,39868258,
2022-08-26,39884837,
2022-08-27,39900674,
2022-08-28,39913678,
2022-08-29,39919361,
2022-08-30,39932743,
2022-08-31,39947375,
2022-09-01,39960471,
2022-09-02,39974243,
