Date,Cumulative_Tested
2022-04-28,80136614
2022-05-01,80212310
2022-05-03,80250528
2022-05-05,80297135
2022-05-08,80379421
2022-05-09,80396726
2022-05-10,80422318
2022-05-11,80452738
2022-05-12,80480929
2022-05-13,80480929
2022-05-16,80572867
2022-05-17,80593724
2022-05-18,80620488
2022-05-22,80722623
2022-05-23,80737311
2022-05-24,80760405
2022-05-29,80889128
2022-05-30,80903451
2022-05-31,80925944
2022-06-01,80951360
2022-06-02,80977908
2022-06-06,81077258
2022-06-12,81321768
2022-06-13,81346204
2022-06-14,81383115
2022-06-15,81428221
2022-06-16,81472916
2022-06-19,81603506
2022-06-20,81626220
2022-06-21,81665314
2022-06-22,81691771
2022-06-23,81747761
