"S. No","Subject","Number"
"1","Total Number of people vaccinated on 7th Sep","7,04,874"
"2","First Dose on 7th Sep","4,89,969"
"3","Second Dose on 7th Sep","2,14,905"
"4","Cumulative Vaccination till 7th Sep","4,40,01,721"
"5","Cumulative Vaccination First Dose","3,15,40,862"
"6","Cumulative Vaccination Second Dose","1,24,60,859"
"7","Number of CVC (Common Vaccination Centres)","3,725"
"8","Cumulative AEFI cases reported","3,769"
"9","Vaccine wastage","-7%"
