"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
Persons 
Hospitalized"
"East Garo Hills","0","1","0","2083","20","2","0"
"East Jaintia Hills","1","1","0","2677","39","3","0"
"East Khasi Hills","7","3","0","47854","1079","27","13"
"Eastern West Khasi Hills","0","0","0","161","9","1","0"
"North Garo Hills","0","0","0","1918","10","0","0"
"Ri-Bhoi","2","3","0","10577","101","14","4"
"South Garo Hills","0","0","0","1441","16","1","1"
"South West Garo Hills","1","3","0","2261","21","2","0"
"South West Khasi Hills","0","1","0","2720","20","2","0"
"West Garo Hills","5","4","0","11827","84","27","1"
"West Jaintia Hills","0","0","0","7323","142","1","1"
"West Khasi Hills","0","0","0","5670","78","0","0"
"Total","16","16","0","96512","1619","80","20"
