District,Recovered,Deceased,Active
लखनऊ,295160,2694,590
गौतम बिु नगर,102496,490,562
गाज़ियाबाद,86339,473,318
िाराणसी,97842,988,118
झ सी,44058,675,69
कानपरु नगर,91722,1923,63
हरदोई,17380,375,49
जौनपरु,24451,244,49
मथरु,25678,406,49
चदंौली,17592,380,47
प्रय गर ज,87555,1121,47
अलीगढ,25540,113,44
आगरा,36022,465,43
बलुदंशहर,26439,254,41
गोरखपरु,66016,866,41
मरेठ,88236,932,37
लखीमपरु-खीरी,30058,300,31
र य बरेली,21426,348,30
पीलीभीत,12742,207,29
अमरोह,19298,208,28
फतहेपरु,8381,141,28
सहारनपरु,38404,428,28
अयोध्य,18706,293,25
मह र जगजं,14841,146,25
देवररय,22428,230,24
ब र बकंी,23750,227,23
कन्नौज,10879,126,23
औरैय्य,10828,211,22
मरुादाबाद,46116,368,21
प्रतापगढ़,16772,163,18
सीत परु,15783,189,18
मनैपरुी,11534,189,15
बरेली,50135,377,14
उन्न व,16963,257,14
सभंल,11042,109,13
इट व,15790,297,12
क्रिरोजाबाद,10623,136,12
गाजीपरु,23889,295,12
सलु्त नपरु,16904,144,12
श हजह ंपरु,24451,446,11
सोनभद्र,18698,257,11
आजमगढ़,19467,235,10
फरु्रख ब द,11886,197,10
