"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","1219","517","4551"
"Kollam","299","26","1431"
"Pathanamthitta","316","184","726"
"Alappuzha","235","133","736"
"Kottayam","319","165","3062"
"Idukki","147","62","1326"
"Ernakulam","1214","502","6581"
"Thrissur","561","153","3377"
"Palakkad","248","80","808"
"Malappuram","260","94","1818"
"Kozhikode","580","268","3875"
"Wayanad","116","86","932"
"Kannur","280","152","1384"
"Kasaragod","150","41","491"
"Total","5944","2463","31098"
