"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
Persons 
Hospitalized"
"East Garo Hills","0","0","0","2051","18","0","0"
"East Jaintia Hills","0","0","0","2628","38","1","0"
"East Khasi Hills","3","4","0","47254","1075","48","5"
"Eastern West Khasi Hills","0","0","0","142","8","0","0"
"North Garo Hills","0","0","0","1881","9","0","0"
"Ri-Bhoi","4","1","0","10374","99","17","2"
"South Garo Hills","0","0","0","1343","13","0","0"
"South West Garo Hills","0","0","0","2096","20","1","0"
"South West Khasi Hills","0","0","0","2701","20","0","0"
"West Garo Hills","4","3","0","10806","80","32","0"
"West Jaintia Hills","0","0","0","7197","139","4","0"
"West Khasi Hills","0","0","0","5655","76","0","0"
"Total","11","8","0","94128","1595","103","7"
