"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","3079","113555","3034","110523","38","3017","15"
"2","SAS Nagar","5363","101052","5328","99861","20","1168","23"
"3","Jalandhar","2814","81079","2748","79086","42","1982","11"
"4","Patiala","2134","64214","2098","62481","11","1722","11"
"5","Amritsar","1401","60956","1387","59095","6","1846","15"
"6","Bathinda","1572","52439","1560","51003","5","1428","8"
"7","Hoshiarpur","1299","42408","1252","40984","19","1419","5"
"8","Gurdaspur","348","27275","328","26401","7","871","3"
"9","Pathankot","515","25017","479","24494","4","521","2"
"10","Fazilka","544","23976","526","23329","0","621","26"
"11","Muktsar","282","22834","281","22291","3","542","1"
"12","Kapurthala","548","22577","534","21975","9","601","1"
"13","Ropar","1139","19077","1133","18616","4","459","2"
"14","Ferozepur","474","18367","463","17823","3","540","4"
"15","Mansa","194","17419","188","17024","1","392","3"
"16","Faridkot","380","17216","380","16801","3","414","1"
"17","Sangrur","276","14710","267","13840","9","869","1"
"18","SBS Nagar","465","13867","470","13458","0","409","0"
"19","FG Sahib","718","12633","713","12193","1","437","3"
"20","Moga","248","11247","242","10973","6","272","2"
"21","Tarn Taran","153","11053","145","10650","1","399","4"
"22","Barnala","217","7717","213","7351","7","364","2"
"23","Malerkotla","61","4064","58","3849","4","215","0"
"","Total","24224","784752","23827","764101","203","20508","143"
