"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,332"
"2","Number of persons tested positive today in Tamil Nadu","239"
"","Passengers returned from other countries  by 
International airport tested positive today","Italy - 1 
USA - 1"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Haryana - 2 
Maharashtra - 1 
West Bengal - 1 
Karnataka - 1"
"","Passengers returned from other states  by Road tested 
positive today","Haryana - 1 
Andhra Pradesh - 1 
Kerala - 1"
"","Total","249"
"3","Total Number of persons tested positive till date","34,57,382"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","14,065/ 
6,67,86,042@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","14,016/ 
6,56,08,361"
"6","No. of Male / Female / Transgender tested positive today","137/112/0"
"7","No. of Male / Female / Transgender tested positive till date","20,17,641/14,39,703/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","148/ 
34,18,025"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
