"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","19878","19579","32","267"
"2","Chengalpattu","234887","231498","733","2656"
"3","Chennai","749605","738732","1812","9061"
"4","Coimbatore","329319","325567","1139","2613"
"5","Cuddalore","74183","73127","163","893"
"6","Dharmapuri","36158","35791","84","283"
"7","Dindigul","37447","36733","49","665"
"8","Erode","132553","131299","520","734"
"9","Kallakurichi","36509","36251","43","215"
"10","Kancheepuram","94253","92698","253","1302"
"11","Kanyakumari","86117","84812","220","1085"
"12","Karur","29733","29270","91","372"
"13","Krishnagiri","59570","59041","159","370"
"14","Madurai","90991","89654","101","1236"
"15","Mayiladuthurai","26492","26144","19","329"
"16","Nagapattinam","25420","24982","64","374"
"17","Namakkal","67938","67199","206","533"
"18","Nilgiris","41929","41491","212","226"
"19","Perambalur","14455","14188","18","249"
"20","Pudukottai","34443","33955","62","426"
"21","Ramanathapuram","24652","24248","36","368"
"22","Ranipet","53893","53053","53","787"
"23","Salem","127249","125169","318","1762"
"24","Sivagangai","23769","23462","88","219"
"25","Tenkasi","32728","32213","25","490"
"26","Thanjavur","92056","90864","154","1038"
"27","Theni","50586","50033","21","532"
"28","Thirupathur","35717","35065","19","633"
"29","Thiruvallur","147271","145039","294","1938"
"30","Thiruvannamalai","66764","65970","110","684"
"31","Thiruvarur","47983","47422","90","471"
"32","Thoothukudi","64917","64392","78","447"
"33","Tirunelveli","62716","62204","67","445"
"34","Tiruppur","129778","128419","307","1052"
"35","Trichy","94839","93441","238","1160"
"36","Vellore","57170","55922","85","1163"
"37","Villupuram","54562","54086","110","366"
"38","Virudhunagar","56784","56157","73","554"
"39","Airport Surveillance 
(International)","1242","1237","4","1"
"40","Airport Surveillance 
(Domestic)","1104","1103","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","34,48,088","34,01,938","8,150","38,000"
