"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","20258","19983","8","267"
"2","Chengalpattu","253020","250101","258","2661"
"3","Chennai","791512","780211","2231","9070"
"4","Coimbatore","340695","337835","242","2618"
"5","Cuddalore","75916","74939","81","896"
"6","Dharmapuri","36842","36553","6","283"
"7","Dindigul","39145","38418","62","665"
"8","Erode","136445","135558","153","734"
"9","Kallakurichi","36946","36725","6","215"
"10","Kancheepuram","98251","96935","13","1303"
"11","Kanyakumari","90264","89021","157","1086"
"12","Karur","30273","29883","18","372"
"13","Krishnagiri","62470","61935","163","372"
"14","Madurai","93225","91910","79","1236"
"15","Mayiladuthurai","27425","27037","58","330"
"16","Nagapattinam","26022","25635","12","375"
"17","Namakkal","69780","69211","35","534"
"18","Nilgiris","42908","42649","33","226"
"19","Perambalur","14936","14647","40","249"
"20","Pudukottai","35274","34824","24","426"
"21","Ramanathapuram","25006","24626","11","369"
"22","Ranipet","56630","55807","36","787"
"23","Salem","131756","129884","108","1764"
"24","Sivagangai","25178","24913","46","219"
"25","Tenkasi","33955","33446","19","490"
"26","Thanjavur","93573","92491","41","1041"
"27","Theni","51855","51308","14","533"
"28","Thirupathur","36094","35454","7","633"
"29","Thiruvallur","153536","151568","26","1942"
"30","Thiruvannamalai","68402","67708","9","685"
"31","Thiruvarur","48988","48496","19","473"
"32","Thoothukudi","67353","66835","70","448"
"33","Tirunelveli","66136","65599","92","445"
"34","Tiruppur","132193","131105","35","1053"
"35","Trichy","98174","96925","88","1161"
"36","Vellore","58137","56941","33","1163"
"37","Villupuram","56405","55993","45","367"
"38","Virudhunagar","59585","58965","65","555"
"39","Airport Surveillance 
(International)","1400","1393","6","1"
"40","Airport Surveillance 
(Domestic)","1168","1166","1","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","35,87,559","35,45,061","4,450","38,048"
