"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","16918","16634","20","264"
"2","Chengalpattu","173556","170366","657","2533"
"3","Chennai","557617","547805","1209","8603"
"4","Coimbatore","249742","246027","1254","2461"
"5","Cuddalore","64374","63410","92","872"
"6","Dharmapuri","28767","28362","127","278"
"7","Dindigul","33216","32507","59","650"
"8","Erode","106062","104524","842","696"
"9","Kallakurichi","31547","31280","57","210"
"10","Kancheepuram","75519","74058","198","1263"
"11","Kanyakumari","62742","61560","127","1055"
"12","Karur","24554","24012","181","361"
"13","Krishnagiri","43804","43370","81","353"
"14","Madurai","75487","74180","125","1182"
"15","Mayiladuthurai","23366","23017","31","318"
"16","Nagapattinam","21303","20850","98","355"
"17","Namakkal","53305","52383","416","506"
"18","Nilgiris","34030","33613","204","213"
"19","Perambalur","12101","11846","11","244"
"20","Pudukottai","30317","29853","46","418"
"21","Ramanathapuram","20623","20236","28","359"
"22","Ranipet","43539","42732","32","775"
"23","Salem","101145","98972","473","1700"
"24","Sivagangai","20371","20103","59","209"
"25","Tenkasi","27390","26895","9","486"
"26","Thanjavur","76034","74795","247","992"
"27","Theni","43601","43069","11","521"
"28","Thirupathur","29380","28734","19","627"
"29","Thiruvallur","120102","117986","270","1846"
"30","Thiruvannamalai","55167","54435","62","670"
"31","Thiruvarur","41838","41252","128","458"
"32","Thoothukudi","56482","56019","53","410"
"33","Tirunelveli","49623","49093","97","433"
"34","Tiruppur","96928","95336","595","997"
"35","Trichy","78376","76982","315","1079"
"36","Vellore","50135","48878","118","1139"
"37","Villupuram","45997","45605","35","357"
"38","Virudhunagar","46389","45812","29","548"
"39","Airport Surveillance 
(International)","1031","1027","3","1"
"40","Airport Surveillance 
(Domestic)","1085","1084","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","27,23,991","26,79,130","8,418","36,443"
