,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,Alluri Sitharama Raju,0,0,0,0,2316697,14730,2304896,33514144
1,Anakapalli,0,0,0,0,2316697,14730,2304896,33514144
2,Anantapur,177611,0,0,0,2316697,14730,2304896,33514144
3,Annamayya,0,0,0,0,2316697,14730,2304896,33514144
4,Bapatla,0,0,0,0,2316697,14730,2304896,33514144
5,Chittoor,272394,0,0,0,2316697,14730,2304896,33514144
6,East Godavari,316587,0,0,0,2316697,14730,2304896,33514144
7,Eluru,0,0,0,0,2316697,14730,2304896,33514144
8,Guntur,203246,0,0,0,2316697,14730,2304896,33514144
9,Kakinada,3,0,0,0,2316697,14730,2304896,33514144
10,Konaseema,0,0,0,0,2316697,14730,2304896,33514144
11,Krishna,136897,0,0,0,2316697,14730,2304896,33514144
12,Kurnool,144244,0,0,0,2316697,14730,2304896,33514144
13,Nandyal,0,0,0,0,2316697,14730,2304896,33514144
14,NTR District,2,0,0,0,2316697,14730,2304896,33514144
15,Palnadu,0,0,0,0,2316697,14730,2304896,33514144
16,Parvathipuram Manyam,0,0,0,0,2316697,14730,2304896,33514144
17,Prakasam,155938,0,0,0,2316697,14730,2304896,33514144
18,S.P.S. Nellore,164375,0,0,0,2316697,14730,2304896,33514144
19,Sri Sathya Sai,0,0,0,0,2316697,14730,2304896,33514144
20,Srikakulam,133952,0,0,0,2316697,14730,2304896,33514144
21,Tirupati,0,0,0,0,2316697,14730,2304896,33514144
22,Visakhapatnam,190941,0,0,0,2316697,14730,2304896,33514144
23,Vizianagaram,92241,0,0,0,2316697,14730,2304896,33514144
24,West Godavari,193378,0,0,0,2316697,14730,2304896,33514144
25,Y.S.R. Kadapa,134888,0,0,0,2316697,14730,2304896,33514144
