"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109399","535","106606","2258"
"2","SAS Nagar","95028","745","93143","1140"
"3","Jalandhar","77834","536","75732","1566"
"4","Patiala","61859","95","60308","1456"
"5","Amritsar","59116","74","57364","1678"
"6","Bathinda","50603","246","49277","1080"
"7","Hoshiarpur","40517","507","38928","1082"
"8","Gurdaspur","26826","120","25847","859"
"9","Pathankot","24252","209","23559","484"
"10","Fazilka","23180","771","21865","544"
"11","Muktsar","22403","136","21730","537"
"12","Kapurthala","21880","123","21178","579"
"13","Ropar","17829","175","17203","451"
"14","Ferozepur","17749","92","17127","530"
"15","Mansa","17206","41","16774","391"
"16","Faridkot","16591","119","16137","335"
"17","Sangrur","13988","22","13249","717"
"18","SBS Nagar","13352","32","12919","401"
"19","FG Sahib","11791","52","11385","354"
"20","Moga","10924","95","10576","253"
"21","Tarn Taran","10804","158","10256","390"
"22","Barnala","7417","60","7057","300"
"23","Malerkotla","4264","3","4071","190"
"","Total","754812","4946","732291","17575"
