"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","318","1064374","0","19566"
"2","Thane","3","118114","0","2289"
"3","TMC","19","190058","0","2163"
"4","Navi Mumbai","21","167194","0","2090"
"5","KDMC","6","176245","0","2974"
"6","Ulhasnagar MC","0","26527","0","680"
"7","Bhivandi Nijampur MC","0","13151","0","496"
"8","Mira Bhayandar MC","7","76711","0","1227"
"9","Palghar","1","64684","0","1244"
"10","Vasai Virar MC","1","99015","0","2163"
"11","Raigad","2","138374","0","3463"
"12","Panvel MC","5","106219","0","1482"
"","Mumbai circle total","383","2240666","0","39837"
"13","Nashik","2","183762","0","3813"
"14","Nashik MC","0","278125","0","4752"
