"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","32","40470","193","39526","588","1","356","0"
"2","Ballari","220","114671","205","110944","1989","0","1736","2"
"3","Belagavi","196","98829","849","92040","5799","1","990","0"
"4","Bengaluru Rural","52","79112","291","77664","543","0","905","0"
"5","Bengaluru Urban","2315","1766791","5739","1729079","20970","17","16741","1"
"6","Bidar","26","29672","95","29064","190","1","414","4"
"7","Chamarajanagara","83","43236","277","41853","853","1","519","11"
"8","Chikkaballapura","47","55346","118","54267","622","1","456","1"
"9","Chikkamagaluru","31","56958","125","56098","457","0","403","0"
"10","Chitradurga","94","45664","240","44008","1425","1","231","0"
"11","Dakshina 
Kannada","90","134751","282","131795","1143","3","1804","9"
"12","Davanagere","44","57372","98","56283","472","0","617","0"
"13","Dharwada","124","83489","286","80788","1352","2","1347","2"
"14","Gadag","20","30413","89","29845","234","0","334","0"
"15","Hassana","101","143337","423","140861","1177","0","1297","2"
"16","Haveri","49","26621","123","25632","327","1","662","0"
"17","Kalaburagi","96","76216","373","74276","1068","1","872","0"
"18","Kodagu","171","48568","321","47181","1042","0","344","1"
"19","Kolara","58","62751","148","61695","396","0","660","0"
"20","Koppala","45","41160","131","40041","584","0","535","0"
"21","Mandya","117","101095","304","99521","878","1","696","0"
"22","Mysuru","261","228012","680","223360","2110","2","2542","0"
"23","Raichuru","87","45321","83","44342","624","1","355","0"
"24","Ramanagara","26","29587","75","29061","180","0","346","0"
"25","Shivamogga","141","82460","701","79869","1468","0","1122","1"
"26","Tumakuru","234","158799","783","154905","2695","5","1199","0"
"27","Udupi","78","95005","557","93487","988","0","530","0"
"28","Uttara Kannada","76","70756","166","69159","793","0","804","0"
"29","Vijayapura","88","40756","105","39450","801","0","505","0"
"30","Yadagiri","17","29865","63","29411","245","0","209","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","5019","3917119","13923","3825538","52013","39","39534","34"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 10-02-2022 
 Page 5 of 33","","","","","","","","",""
