"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
Persons 
Hospitalized"
"East Garo Hills","2","2","0","2075","19","3","0"
"East Jaintia Hills","3","0","0","2661","39","9","0"
"East Khasi Hills","10","19","0","47738","1077","62","27"
"Eastern West Khasi Hills","0","0","0","156","8","4","0"
"North Garo Hills","1","2","0","1915","10","3","0"
"Ri-Bhoi","2","8","0","10524","101","25","1"
"South Garo Hills","2","1","0","1421","14","19","1"
"South West Garo Hills","2","3","0","2228","21","20","0"
"South West Khasi Hills","1","1","0","2710","20","7","2"
"West Garo Hills","6","27","0","11700","84","333","9"
"West Jaintia Hills","6","3","0","7295","141","29","4"
"West Khasi Hills","0","0","0","5670","78","2","0"
"Total","35","66","0","96093","1612","516","44"
