"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 01-11-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","19","102","300958","299826 [19] ↑","99.62%","1030","4","21","64","5712301"
"2","Faridabad","1","26","135707","134940","99.43%","741","2","17","8","4182889"
"3  Hisar","","1","6","63878","62690","98.14%","1182","2","0","0","2438859"
"4","Sonipat","0","1","59585","59308","99.54%","276","2","6","8","2360151"
"5","Karnal","0","3","49914","49311","98.79%","600","1","1","0","2469089"
"6","Panchkula","2","16","48405","47968","99.10%","421","0","0","0","1178896"
"7","Ambala","1","8","42845","42295","98.72%","542","0","1","10","2209864"
"8","Panipat","1","4","36763","36081","98.14%","678","0","1","5","2131012"
"9","Sirsa","0","2","34218","33670","98.40%","546","0","0","0","1990009"
"10  Rohtak","","0","10","33209","32645","98.30%","537","0","0","1","1815930"
"","11  Yamunanagar","2","5","32719","32256 [2] ↑","98.58%","458","1","0","1","2041398"
"12  Kurukshetra","","0","1","27831","27422","98.53%","408","0","1","1","1628473"
"13  Bhiwani","","0","3","27193","26523","97.54%","667","0","0","0","1882981"
"14","Jind","1","1","25419","24874","97.86%","544","0","0","0","1782799"
"","15  Mahendragarh","0","3","25013","24845","99.33%","165","0","0","2","1450458"
"16  Rewari","","0","0","24988","24764","99.10%","224","0","0","0","1629510"
"17","Jhajjar","0","3","24112","23748","98.49%","355","0","0","0","1635846"
"18  Fatehabad","","1","1","20300","19799 [1] ↑","97.53%","500","0","0","0","1215763"
"19  Kaithal","","1","4","15213","14833","97.50%","376","0","0","0","1901767"
"20  Palwal","","0","2","13660","13482","98.70%","176","0","0","0","1578120"
"","21  Charkhi Dadri","0","0","8077","7930","98.18%","147","0","0","1","956853"
"22  Nuh","","0","1","6179","6039","97.73%","139","0","0","2","1227330"
"HARYANA","","30","202","1056186","1045249 [22] ↑","98.96%","10712","13","48","103","45420298"
