,Unnamed: 0,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,0,2021-11-17,DL,Central Delhi,,,,,,,,2021-11-18 05:57:44.154785,,,,1440528,25095,1415087,30233936
1,1,2021-11-17,DL,East Delhi,,,,,,,,2021-11-18 05:57:44.154785,,,,1440528,25095,1415087,30233936
2,2,2021-11-17,DL,New Delhi,,,,,,,,2021-11-18 05:57:44.154785,,,,1440528,25095,1415087,30233936
3,3,2021-11-17,DL,North Delhi,,,,,,,,2021-11-18 05:57:44.154785,,,,1440528,25095,1415087,30233936
4,4,2021-11-17,DL,North East Delhi,,,,,,,,2021-11-18 05:57:44.154785,,,,1440528,25095,1415087,30233936
5,5,2021-11-17,DL,North West Delhi,,,,,,,,2021-11-18 05:57:44.154785,,,,1440528,25095,1415087,30233936
6,6,2021-11-17,DL,Shahdara,,,,,,,,2021-11-18 05:57:44.154785,,,,1440528,25095,1415087,30233936
7,7,2021-11-17,DL,South Delhi,,,,,,,,2021-11-18 05:57:44.154785,,,,1440528,25095,1415087,30233936
8,8,2021-11-17,DL,South East Delhi,,,,,,,,2021-11-18 05:57:44.154785,,,,1440528,25095,1415087,30233936
9,9,2021-11-17,DL,South West Delhi,,,,,,,,2021-11-18 05:57:44.154785,,,,1440528,25095,1415087,30233936
10,10,2021-11-17,DL,West Delhi,,,,,,,,2021-11-18 05:57:44.154785,,,,1440528,25095,1415087,30233936
11,11,2021-11-17,DL,Unknown,,,,1440528.0,25095.0,1415087.0,,2021-11-18 05:57:44.154785,,,,1440528,25095,1415087,30233936
