"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 08-07-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","196","737","284356","282611[152]","99.39","1008","209","565","3565","5486835"
"2","Faridabad","34","323","132184","131120[45]","99.20","741","59","195","2017","4099673"
"3  Hisar","","15","51","62510","61283[20]","98.04","1176","116","441","283","2370869"
"4","Sonipat","2","37","58944","58631[7]","99.47","276","93","272","670","2311111"
"5","Karnal","10","106","48603","47900[9]","98.55","597","389","1053","266","2410301"
"6","Panchkula","32","159","45393","44819[45]","98.74","415","24","126","576","1145438"
"7","Ambala","7","126","41154","40486[30]","98.38","542","66","205","1381","2163829"
"8","Panipat","8","37","36252","35542","98.04","673","139","418","425","2078220"
"9","Sirsa","6","36","33581","33006[14]","98.29","539","96","477","256","1953137"
"10  Rohtak","","4","41","32256","31661[5]","98.16","537","200","693","769","1751122"
"","11  Yamunanagar","6","38","30810","30317","98.40","455","65","775","776","1986907"
"12  Kurukshetra","","7","36","27036","26601[11]","98.39","399","127","495","597","1576878"
"13  Bhiwani","","2","29","26646","25952[1]","97.40","665","136","1580","827","1819584"
"","14  Mahendragarh","1","13","24795","24617","99.28","165","122","220","1116","1408605"
"15  Rewari","","0","1","24724","24499[2]","99.09","224","25","140","544","1593615"
"16","Jind","8","37","24527","23948[6]","97.64","542","50","307","167","1739518"
"17","Jhajjar","2","14","23618","23247[4]","98.43","351","100","275","561","1600211"
"18  Fatehabad","","2","16","20130","19616[2]","97.45","498","18","78","59","1197614"
"19  Kaithal","","9","45","14414","13998[11]","97.11","371","123","671","1813","1802371"
"20  Palwal","","2","6","13536","13360[2]","98.70","170","46","180","400","1548667"
"","21  Charkhi Dadri","0","4","7491","7342[1]","98.01","145","12","44","1022","917253"
"22  Nuh","","0","3","6135","5993","97.69","139","3","1","53","1223633"
"Haryana","","353","1895","1019095","1006549[367]","98.77","10628","2218","9211","18143","44185391"
