,Unnamed: 0,44,Unnamed: 1,आजमगढ़,Unnamed: 2,18,Unnamed: 3,0,Unnamed: 4,17680,Unnamed: 5,0.1,Unnamed: 6,228,Unnamed: 7,58,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,लखीमपरु-खीरी,,15.0,,0.0,,24126.0,,0.0,,293.0,,57.0,,,,,
1,,46,,बहराइच,,8.0,,0.0,,11374.0,,0.0,,178.0,,54.0,,,,,
2,,47,,इटावा,,32.0,,0.0,,13640.0,,0.0,,293.0,,54.0,,,,,
3,,48,,गोंडा,,26.0,,0.0,,12016.0,,0.0,,271.0,,51.0,,,,,
4,,49,,मसद्धाथ नगर,,17.0,,0.0,,9275.0,,0.0,,100.0,,51.0,,,,,
5,,50,,कन्नौज,,23.0,,0.0,,9115.0,,0.0,,115.0,,49.0,,,,,
6,,51,,महाराजगजं,,18.0,,1.0,,12324.0,,0.0,,141.0,,49.0,,,,,
7,,52,,सलु्तानपरु,,25.0,,0.0,,14780.0,,0.0,,138.0,,48.0,,,,,
8,,53,,एटा,,19.0,,0.0,,9876.0,,0.0,,99.0,,47.0,,,,,
9,,54,,जौनपरु,,6.0,,0.0,,22350.0,,0.0,,235.0,,47.0,,,,,
10,,55,,बमलया,,15.0,,0.0,,21377.0,,0.0,,234.0,,43.0,,,,,
11,,56,,लमलतपरु,,8.0,,0.0,,12622.0,,0.0,,128.0,,38.0,,,,,
12,,57,,फर्रखाबाद,,11.0,,2.0,,10157.0,,0.0,,194.0,,36.0,,,,,
13,,58,,बलरामपरु,,8.0,,0.0,,7356.0,,0.0,,138.0,,31.0,,,,,
14,,59,,भदोही,,12.0,,0.0,,7558.0,,0.0,,163.0,,24.0,,,,,
15,,60,,फतहेपरु,,14.0,,0.0,,6680.0,,0.0,,139.0,,24.0,,,,,
16,,61,,बादा,,9.0,,0.0,,10832.0,,0.0,,161.0,,23.0,,,,,
17,,62,,कासगजं,,3.0,,0.0,,4198.0,,0.0,,53.0,,23.0,,,,,
18,,63,,कुशीनगर,,6.0,,0.0,,15390.0,,0.0,,228.0,,23.0,,,,,
19,,64,,मऊ,,7.0,,0.0,,8253.0,,0.0,,80.0,,22.0,,,,,
20,,65,,पीलीभीत,,7.0,,0.0,,10839.0,,0.0,,193.0,,22.0,,,,,
21,,66,,अमठेी,,5.0,,2.0,,9832.0,,0.0,,143.0,,20.0,,,,,
22,,67,,प्रतापगढ़,,8.0,,1.0,,15876.0,,0.0,,163.0,,20.0,,,,,
23,,68,,कानपरु देहात,,3.0,,1.0,,6090.0,,0.0,,110.0,,19.0,,,,,
24,,69,,चचत्रकट,,1.0,,0.0,,7031.0,,0.0,,79.0,,11.0,,,,,
25,,70,,हमीरपरु,,5.0,,0.0,,5138.0,,0.0,,102.0,,9.0,,,,,
26,,71,,महोबा,,3.0,,0.0,,4182.0,,0.0,,86.0,,9.0,,,,,
27,,72,,सतं कबीर नगर,,4.0,,0.0,,8064.0,,0.0,,98.0,,9.0,,,,,
28,,73,,कौशाम्बी,,2.0,,0.0,,4356.0,,0.0,,70.0,,8.0,,,,,
29,,74,,जालौन,,4.0,,0.0,,11489.0,,0.0,,202.0,,7.0,,,,,
30,,75,,श्रावस्ती,,1.0,,0.0,,4354.0,,0.0,,35.0,,5.0,,,,,
31,,Total,,,,,,,7695.0,,253.0,,1688648.0,,4.0,,22928.0,,25974.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 22928 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
