,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinatedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaVaccinatedForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaVaccinatedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaVaccinatedForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinatedNumberForDistrict,last_updated,statePopulation,tested_last_updated_statetested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinatedNumberForState
0,10/30/2021,India,,,,,,,,,Andaman and Nicobar Islands,,,,,,,,,,,,,7651,129,7518,,,10/31/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
1,10/30/2021,India,,,,,,,,,Andhra Pradesh,,,,,,,,,,,,,2066065,14369,2047047,,,11/1/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
2,10/30/2021,India,,,,,,,,,Arunachal Pradesh,,,,,,,,,,,,,55154,280,54765,,,11/2/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
3,10/30/2021,India,,,,,,,,,Assam,,,,,,,,,,,,,610433,5996,600738,,,11/3/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
4,10/30/2021,India,,,,,,,,,Bihar,,,,,,,,,,,,,726090,9661,716381,,,11/4/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
5,10/30/2021,India,,,,,,,,,Chandigarh,,,,,,,,,,,,,65346,820,64492,,,11/5/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
6,10/30/2021,India,,,,,,,,,Chhattisgarh,,,,,,,,,,,,,1006020,13576,992127,,,11/6/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
7,10/30/2021,India,,,,,,,,,Dadra and Nagar Haveli and Daman and Diu,,,,,,,,,,,,,10682,4,10672,,,11/7/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
8,10/30/2021,India,,,,,,,,,Delhi,,,,,,,,,,,,,1439825,25091,1414985,,,11/8/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
9,10/30/2021,India,,,,,,,,,Goa,,,,,,,,,,,,,178085,3364,174339,,,11/9/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
10,10/30/2021,India,,,,,,,,,Gujarat,,,,,,,,,,,,,826557,10089,816260,,,11/10/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
11,10/30/2021,India,,,,,,,,,Haryana,,,,,,,,,,,,,771241,10049,761058,,,11/11/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
12,10/30/2021,India,,,,,,,,,Himachal Pradesh,,,,,,,,,,,,,224021,3753,218212,,,11/12/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
13,10/30/2021,India,,,,,,,,,Jammu and Kashmir,,,,,,,,,,,,,332154,4432,326836,,,11/13/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
14,10/30/2021,India,,,,,,,,,Jharkhand,,,,,,,,,,,,,348754,5138,343510,,,11/14/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
15,10/30/2021,India,,,,,,,,,Karnataka,,,,,,,,,,,,,2988041,38071,2941233,,,11/15/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
16,10/30/2021,India,,,,,,,,,Kerala,,,,,,,,,,,,,4961490,31514,4850742,,,11/16/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
17,10/30/2021,India,,,,,,,,,Ladakh,,,,,,,,,,,,,20951,208,20678,,,11/17/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
18,10/30/2021,India,,,,,,,,,Lakshadweep,,,,,,,,,,,,,10365,51,10314,,,11/18/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
19,10/30/2021,India,,,,,,,,,Maharashtra,,,,,,,,,,,,,6609906,140196,6449186,,,11/19/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
20,10/30/2021,India,,,,,,,,,Manipur,,,,,,,,,,,,,123668,1920,121040,,,11/20/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
21,10/30/2021,India,,,,,,,,,Meghalaya,,,,,,,,,,,,,83605,1449,81695,,,11/21/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
22,10/30/2021,India,,,,,,,,,Mizoram,,,,,,,,,,,,,121359,431,114002,,,11/22/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
23,10/30/2021,India,,,,,,,,,Madhya Pradesh,,,,,,,,,,,,,792838,10524,782207,,,11/23/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
24,10/30/2021,India,,,,,,,,,Nagaland,,,,,,,,,,,,,31831,684,30925,,,11/24/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
25,10/30/2021,India,,,,,,,,,Odisha,,,,,,,,,,,,,1040969,8329,1028697,,,11/25/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
26,10/30/2021,India,,,,,,,,,Puducherry,,,,,,,,,,,,,127975,1857,125681,,,11/26/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
27,10/30/2021,India,,,,,,,,,Punjab,,,,,,,,,,,,,602375,16558,585566,,,11/27/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
28,10/30/2021,India,,,,,,,,,Rajasthan,,,,,,,,,,,,,954427,8954,945441,,,11/28/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
29,10/30/2021,India,,,,,,,,,Sikkim,,,,,,,,,,,,,31958,395,31380,,,11/29/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
30,10/30/2021,India,,,,,,,,,Tamil Nadu,,,,,,,,,,,,,2701614,36097,2653832,,,11/30/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
31,10/30/2021,India,,,,,,,,,Telangana,,,,,,,,,,,,,671342,3955,663315,,,12/1/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
32,10/30/2021,India,,,,,,,,,Tripura,,,,,,,,,,,,,84471,816,83529,,,12/2/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
33,10/30/2021,India,,,,,,,,,Uttar Pradesh,,,,,,,,,,,,,1710152,22900,1687145,,,12/3/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
34,10/30/2021,India,,,,,,,,,Uttarakhand,,,,,,,,,,,,,343891,7400,336336,,,12/4/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
35,10/30/2021,India,,,,,,,,,West Bengal,,,,,,,,,,,,,1591994,19126,1564558,,,12/5/2021 19:40,,,,34273300,458186,33655842,608319915,1061440335
