,Unnamed: 0,Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,last_updated,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,tested_source_state,tested_last_updated_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaConfirmedForState,7DmaRecoveredForState,7DmaDeceasedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinatedForState,7DmaConfirmedForDistrict,7DmaRecoveredForDistrict,7DmaDeceasedForDistrict,7DmaVaccinatedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,0,2021-10-31,India,Andaman and Nicobar Islands,7651,129,7518,10/31/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,494158,294001,200157,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,3,36,39,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,1,2021-10-31,India,Andhra Pradesh,2066065,14369,2047047,11/1/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,53351495,32976723,20374772,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,21191,24704,45895,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Andhra Pradesh,52221000
2,2,2021-10-31,India,Arunachal Pradesh,55154,280,54765,11/2/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,1306361,771875,534486,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,42,195,237,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Arunachal Pradesh,1504000
3,3,2021-10-31,India,Assam,610433,5996,600738,11/3/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,28240642,20172070,8068572,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,19528,37629,57157,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Assam,34293000
4,4,2021-10-31,India,Bihar,726090,9661,716381,11/4/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,68214939,49871471,18343468,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,117767,151374,269141,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Bihar,119520000
5,5,2021-10-31,India,Chandigarh,65346,820,64492,11/5/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,1473016,926035,546981,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,211,1282,1493,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Chandigarh,1179000
6,6,2021-10-31,India,Chhattisgarh,1006020,13576,992127,11/6/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,22191967,14850127,7341840,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,21842,39937,61779,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Chhattisgarh,28724000
7,7,2021-10-31,India,Dadra and Nagar Haveli and Daman and Diu,10682,4,10672,11/7/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,1031006,660753,370253,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,3,18,21,1,29,0,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,8,2021-10-31,India,Delhi,1439825,25091,1414985,11/8/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,20481006,13055627,7425379,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,12463,11825,24288,0,600,0,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Delhi,19814000
9,9,2021-10-31,India,Goa,178085,3364,174339,11/9/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,2173640,1262558,911082,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,2562,12372,14934,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Goa,1540000
