,Unnamed: 0,S.No.,Unnamed: 1,जनपद का नाम,Unnamed: 2,विगत 24 घटंों कीअिधि म  ससंधूितपषु्ट रोगी,Unnamed: 3,विगत 24 घटंों कीअिधि म  ससंधूितडिस्िाज,Unnamed: 4,आज तक कुलडिस्िाज,Unnamed: 5,विगत 24 घटंों कीअिधि म  ससंधूितमतृ्य,Unnamed: 6,कोविििनात्मकरोधगयों मकुल मतृ्य ु*,Unnamed: 7,ितमान म कुलसक्रिय केसजे कीसखं्या,Unnamed: 8,Unnamed: 9
0,,1,,लखनऊ,,5,,3,,236255,,0,,2651,,55,,
1,,2,,गौतम बिु नगर,,13,,6,,63000,,0,,468,,54,,
2,,3,,गाज़ियाबाद,,9,,1,,55246,,0,,461,,40,,
3,,4,,प्रयागराज,,0,,0,,77638,,0,,1088,,14,,
4,,5,,िाराणसी,,0,,0,,84534,,0,,971,,13,,
5,,6,,मजुफ्फरनगर,,0,,5,,30743,,0,,269,,10,,
6,,7,,झासी,,3,,0,,35896,,0,,663,,9,,
7,,8,,सहारनपरु,,1,,0,,32327,,0,,420,,8,,
8,,9,,कानपरु नगर,,0,,0,,81038,,0,,1905,,7,,
9,,10,,मरेठ,,0,,0,,68589,,0,,898,,6,,
10,,11,,आगरा,,0,,0,,25314,,0,,457,,5,,
11,,12,,देवररया,,0,,0,,20006,,0,,221,,5,,
12,,13,,हमीरपरु,,0,,1,,5132,,0,,102,,5,,
13,,14,,अमरोहा,,0,,1,,16414,,0,,203,,4,,
14,,15,,महाराजगजं,,0,,0,,12301,,0,,140,,4,,
15,,16,,मथरुा,,4,,0,,19917,,0,,402,,4,,
16,,17,,अलीगढ,,0,,0,,21174,,0,,109,,3,,
17,,18,,बरेली,,0,,0,,43668,,0,,377,,3,,
18,,19,,कानपरु देहात,,0,,0,,6088,,0,,110,,3,,
19,,20,,राय बरेली,,1,,0,,16766,,0,,343,,3,,
20,,21,,रामपरु,,0,,0,,11676,,0,,148,,3,,
21,,22,,फतहेपरु,,0,,0,,6677,,0,,139,,2,,
22,,23,,कन्नौज,,0,,0,,9114,,0,,115,,2,,
23,,24,,लखीमपरु-खीरी,,0,,0,,24123,,0,,292,,2,,
24,,25,,लललतपरु,,1,,0,,12621,,0,,128,,2,,
25,,26,,सोनभद्र,,0,,0,,16560,,0,,251,,2,,
26,,27,,उन्नाव,,0,,1,,14763,,0,,254,,2,,
27,,28,,बागपत,,0,,0,,8993,,0,,141,,1,,
28,,29,,बललया,,0,,0,,21376,,0,,234,,1,,
29,,30,,बलरामपरु,,0,,0,,7356,,0,,138,,1,,
30,,31,,भदोही,,0,,0,,7557,,0,,163,,1,,
31,,32,,बबजनौर,,0,,0,,14668,,0,,126,,1,,
32,,33,,बलुदंशहर,,0,,0,,19975,,0,,244,,1,,
33,,34,,चदंौली,,0,,0,,15852,,0,,357,,1,,
34,,35,,फरु्रखाबाद,,0,,0,,10155,,0,,194,,1,,
35,,36,,गोरखपरु,,1,,0,,58598,,0,,848,,1,,
36,,37,,मरुादाबाद,,0,,0,,38753,,0,,349,,1,,
37,,38,,सभंल,,0,,0,,9332,,0,,106,,1,,
38,,39,,शाहजहांपरु,,0,,0,,19918,,0,,444,,1,,
39,,40,,अम्बडेकर नगर,,0,,0,,4888,,0,,152,,0,,
40,,41,,अमठेी,,0,,0,,9830,,0,,143,,0,,
41,,42,,औरैय्या,,0,,0,,9890,,0,,203,,0,,
42,,43,,अयोध्या,,0,,0,,16629,,0,,290,,0,,
