"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on   
29-10-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","8","181412","180440[5]","99.46","922","50","2970","7909","3560369"
"2","Faridabad","2","99898","99155[1]","99.26","716","27","3997","5387","2489593"
"3","Hisar","0","53995","52857","97.89","1136","2","790","1943","1324474"
"4","Sonepat","0","47138","46884[1]","99.46","254","0","1643","3192","1394022"
"5","Karnal","0","40036","39484","98.62","552","0","1830","4999","1447848"
"6","Panipat","0","31149","30510","97.95","638","1","1442","2766","1099094"
"7","Panchkula","2","30769","30377[1]","98.73","378","14","342","2132","733766"
"8","Ambala","0","30150","29639","98.31","509","2","503","4721","1440530"
"9","Sirsa","0","29282","28771[2]","98.25","508","3","496","1140","1063840"
"10","Rohtak","0","25903","25350","97.87","534","2","1760","3589","973891"
"11","Yamunanagar","0","24631","24213[2]","98.30","414","4","1171","3168","1169233"
"12","Bhiwani","0","22409","21757","97.09","652","0","787","3115","1051827"
"13","Kurukshetra","0","22147","21789","98.38","357","1","649","1741","856546"
"14","Mahindergarh","0","21689","21534","99.29","155","0","922","1882","838211"
"15","Jind","0","21209","20675","97.48","533","1","2409","4202","948738"
"16","Rewari","0","20327","20105","98.91","221","1","306","1556","941456"
"17","Jhajjar","0","18849","18514","98.22","328","1","1223","2714","972677"
"18","Fatehabad","0","17875","17394","97.31","481","0","349","1470","775395"
"19","Kaithal","0","11244","10898","96.92","346","0","556","2414","830347"
"20","Palwal","0","11025","10872","98.61","153","0","1296","1788","827501"
"21","Charkhi Dadri","0","5078","4939","97.26","139","0","207","2479","624613"
"22","Nuh","0","5014","4890","97.53","123","1","789","476","427928"
"Total","","12","771229","761047[12]","98.68","10049","110","26437","64783","25791899"
