,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,10741,10611,129,2022-11-13,TT,44666377,530531,44123539,2022-11-13 22:11:14.847840,902709553,2022-11-11 00:00:00,0,2197983497,1026955241,950449019,220579237,990711,347588,353097,290026,https://www.icmr.gov.in/,734,3,977,68064,18945,5242,92251,1,13,43,57,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2339026,2324240,14733,2022-11-13,TT,44666377,530531,44123539,2022-11-13 22:11:14.847840,902709553,2022-11-11 00:00:00,0,2197983497,1026955241,950449019,220579237,110496995,44700381,47570547,18226067,https://www.icmr.gov.in/,734,3,977,68064,18945,5242,92251,36,39,1331,1406,6,4,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,66885,66587,296,2022-11-13,TT,44666377,530531,44123539,2022-11-13 22:11:14.847840,902709553,2022-11-11 00:00:00,0,2197983497,1026955241,950449019,220579237,1896635,959258,818652,118725,https://www.icmr.gov.in/,734,3,977,68064,18945,5242,92251,14,27,174,215,0,0,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,746090,735526,8035,2022-11-13,TT,44666377,530531,44123539,2022-11-13 22:11:14.847840,902709553,2022-11-11 00:00:00,0,2197983497,1026955241,950449019,220579237,50214240,24806495,22101560,3306185,https://www.icmr.gov.in/,734,3,977,68064,18945,5242,92251,331,1012,1517,2860,0,0,0,,,1332900000,Assam,34293000
4,Bihar,851292,838934,12302,2022-11-13,TT,44666377,530531,44123539,2022-11-13 22:11:14.847840,902709553,2022-11-11 00:00:00,0,2197983497,1026955241,950449019,220579237,156957719,73432016,67799342,15726361,https://www.icmr.gov.in/,734,3,977,68064,18945,5242,92251,1388,5061,13657,20106,4,9,0,,,1332900000,Bihar,119520000
5,Chandigarh,99323,98136,1181,2022-11-13,TT,44666377,530531,44123539,2022-11-13 22:11:14.847840,902709553,2022-11-11 00:00:00,0,2197983497,1026955241,950449019,220579237,2279833,1184737,984738,110358,https://www.icmr.gov.in/,734,3,977,68064,18945,5242,92251,10,21,26,57,1,1,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1177677,1163475,14145,2022-11-13,TT,44666377,530531,44123539,2022-11-13 22:11:14.847840,902709553,2022-11-11 00:00:00,0,2197983497,1026955241,950449019,220579237,48982293,21260549,20294275,7427469,https://www.icmr.gov.in/,734,3,977,68064,18945,5242,92251,103,377,1212,1692,5,11,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,11591,11585,4,2022-11-13,TT,44666377,530531,44123539,2022-11-13 22:11:14.847840,902709553,2022-11-11 00:00:00,0,2197983497,1026955241,950449019,220579237,1577553,782185,636693,158675,https://www.icmr.gov.in/,734,3,977,68064,18945,5242,92251,7,12,49,68,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,2006769,1980050,26514,2022-11-13,TT,44666377,530531,44123539,2022-11-13 22:11:14.847840,902709553,2022-11-11 00:00:00,0,2197983497,1026955241,950449019,220579237,37331151,18288305,15701346,3341500,https://www.icmr.gov.in/,734,3,977,68064,18945,5242,92251,124,325,1033,1482,59,36,0,,,1332900000,Delhi,19814000
9,Goa,258916,254834,4013,2022-11-13,TT,44666377,530531,44123539,2022-11-13 22:11:14.847840,902709553,2022-11-11 00:00:00,0,2197983497,1026955241,950449019,220579237,2871753,1439744,1295139,136870,https://www.icmr.gov.in/,734,3,977,68064,18945,5242,92251,8,21,40,69,12,16,0,,,1332900000,Goa,1540000
10,Gujarat,1277227,1265826,11040,2022-11-13,TT,44666377,530531,44123539,2022-11-13 22:11:14.847840,902709553,2022-11-11 00:00:00,0,2197983497,1026955241,950449019,220579237,127554255,54380162,53988223,19185870,https://www.icmr.gov.in/,734,3,977,68064,18945,5242,92251,669,491,5268,6428,29,43,0,,,1332900000,Gujarat,67936000
11,Haryana,1056397,1045571,10712,2022-11-13,TT,44666377,530531,44123539,2022-11-13 22:11:14.847840,902709553,2022-11-11 00:00:00,0,2197983497,1026955241,950449019,220579237,45427095,23669558,19819336,1938201,https://www.icmr.gov.in/,734,3,977,68064,18945,5242,92251,42,122,334,498,7,14,0,,,1332900000,Haryana,28672000
12,Himachal Pradesh,312512,308266,4211,2022-11-13,TT,44666377,530531,44123539,2022-11-13 22:11:14.847840,902709553,2022-11-11 00:00:00,0,2197983497,1026955241,950449019,220579237,15197140,6643567,6314802,2238771,https://www.icmr.gov.in/,734,3,977,68064,18945,5242,92251,0,10,104,114,6,8,0,,,1332900000,Himachal Pradesh,7300000
13,Jammu and Kashmir,479317,474518,4785,2022-11-13,TT,44666377,530531,44123539,2022-11-13 22:11:14.847840,902709553,2022-11-11 00:00:00,0,2197983497,1026955241,950449019,220579237,24707854,11370235,11763143,1574476,https://www.icmr.gov.in/,734,3,977,68064,18945,5242,92251,20,65,1080,1165,0,0,0,,,1332900000,Jammu and Kashmir,13203000
14,Jharkhand,442555,437202,5331,2022-11-13,TT,44666377,530531,44123539,2022-11-13 22:11:14.847840,902709553,2022-11-11 00:00:00,0,2197983497,1026955241,950449019,220579237,43478607,23908856,17667344,1902407,https://www.icmr.gov.in/,734,3,977,68064,18945,5242,92251,498,2039,3136,5673,0,1,0,,,1332900000,Jharkhand,37403000
15,Karnataka,4070333,4028150,40302,2022-11-13,TT,44666377,530531,44123539,2022-11-13 22:11:14.847840,902709553,2022-11-11 00:00:00,0,2197983497,1026955241,950449019,220579237,120626315,55147788,55275176,10203351,https://www.icmr.gov.in/,734,3,977,68064,18945,5242,92251,225,1165,3714,5104,61,37,1,,,1332900000,Karnataka,65798000
