"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
Persons 
Hospitalized"
"East Garo Hills","1","1","0","2081","20","2","0"
"East Jaintia Hills","0","2","0","2673","39","5","0"
"East Khasi Hills","8","4","0","47799","1078","40","19"
"Eastern West Khasi Hills","0","0","0","158","9","2","0"
"North Garo Hills","0","0","0","1918","10","3","0"
"Ri-Bhoi","1","2","0","10553","101","17","0"
"South Garo Hills","2","1","0","1435","15","4","2"
"South West Garo Hills","1","5","0","2249","21","10","0"
"South West Khasi Hills","0","0","0","2716","20","5","0"
"West Garo Hills","3","2","0","11772","84","235","8"
"West Jaintia Hills","1","4","0","7318","141","12","3"
"West Khasi Hills","0","0","0","5670","78","0","0"
"Total","17","21","0","96342","1616","335","32"
