,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaConfirmedForState,7DmaRecoveredForState,7DmaDeceasedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinatedForState,7DmaConfirmedForDistrict,7DmaRecoveredForDistrict,7DmaDeceasedForDistrict,7DmaVaccinatedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,7714,7576,129,2021-12-27,TT,34793333,479997,34237495,2021-12-27 12:12:21.162008,672936621,2021-12-26 00:00:00,939539,1417284566,838053120,579231446,590153,299193,290960,https://www.icmr.gov.in/,6531,315,7141,2283880,942329,3226209,0,3,3,2,2,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363448.857142857,1340169.142857143,16386.14285714286,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2076492,2060836,14490,2021-12-27,TT,34793333,479997,34237495,2021-12-27 12:12:21.162008,672936621,2021-12-26 00:00:00,939539,1417284566,838053120,579231446,67471683,39110317,28361366,https://www.icmr.gov.in/,6531,315,7141,2283880,942329,3226209,28199,79754,107953,82,164,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363448.857142857,1340169.142857143,16386.14285714286,0,0,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,55332,55036,280,2021-12-27,TT,34793333,479997,34237495,2021-12-27 12:12:21.162008,672936621,2021-12-26 00:00:00,939539,1417284566,838053120,579231446,1449777,803940,645837,https://www.icmr.gov.in/,6531,315,7141,2283880,942329,3226209,15,118,133,1,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363448.857142857,1340169.142857143,16386.14285714286,0,0,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,620134,611903,6156,2021-12-27,TT,34793333,479997,34237495,2021-12-27 12:12:21.162008,672936621,2021-12-26 00:00:00,939539,1417284566,838053120,579231446,36955296,21699604,15255692,https://www.icmr.gov.in/,6531,315,7141,2283880,942329,3226209,1216,25655,26871,53,81,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363448.857142857,1340169.142857143,16386.14285714286,0,0,0,,,1332900000,Assam,34293000
4,Bihar,726456,714263,12094,2021-12-27,TT,34793333,479997,34237495,2021-12-27 12:12:21.162008,672936621,2021-12-26 00:00:00,939539,1417284566,838053120,579231446,96922267,57288446,39633821,https://www.icmr.gov.in/,6531,315,7141,2283880,942329,3226209,32046,171800,203846,28,11,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363448.857142857,1340169.142857143,16386.14285714286,0,0,0,,,1332900000,Bihar,119520000
5,Chandigarh,65774,64595,1078,2021-12-27,TT,34793333,479997,34237495,2021-12-27 12:12:21.162008,672936621,2021-12-26 00:00:00,939539,1417284566,838053120,579231446,1674950,964756,710194,https://www.icmr.gov.in/,6531,315,7141,2283880,942329,3226209,1680,3667,5347,10,14,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363448.857142857,1340169.142857143,16386.14285714286,0,0,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1007623,993696,13597,2021-12-27,TT,34793333,479997,34237495,2021-12-27 12:12:21.162008,672936621,2021-12-26 00:00:00,939539,1417284566,838053120,579231446,29309984,17544702,11765282,https://www.icmr.gov.in/,6531,315,7141,2283880,942329,3226209,6984,24686,31670,46,29,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363448.857142857,1340169.142857143,16386.14285714286,0,0,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,10691,10686,4,2021-12-27,TT,34793333,479997,34237495,2021-12-27 12:12:21.162008,672936621,2021-12-26 00:00:00,939539,1417284566,838053120,579231446,1201312,694640,506672,https://www.icmr.gov.in/,6531,315,7141,2283880,942329,3226209,28,37,65,0,2,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363448.857142857,1340169.142857143,16386.14285714286,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,1443352,1417144,25105,2021-12-27,TT,34793333,479997,34237495,2021-12-27 12:12:21.162008,672936621,2021-12-26 00:00:00,939539,1417284566,838053120,579231446,25593505,14917117,10676388,https://www.icmr.gov.in/,6531,315,7141,2283880,942329,3226209,12187,19981,32168,290,120,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363448.857142857,1340169.142857143,16386.14285714286,0,0,0,,,1332900000,Delhi,19814000
9,Goa,180050,176082,3519,2021-12-27,TT,34793333,479997,34237495,2021-12-27 12:12:21.162008,672936621,2021-12-26 00:00:00,939539,1417284566,838053120,579231446,2390998,1298585,1092413,https://www.icmr.gov.in/,6531,315,7141,2283880,942329,3226209,19,127,146,25,37,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363448.857142857,1340169.142857143,16386.14285714286,0,0,0,,,1332900000,Goa,1540000
