"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","88045","295","85631","2119"
"2","SAS Nagar","69423","321","68027","1075"
"3","Jalandhar","63829","240","62088","1501"
"4","Patiala","49875","839","47671","1365"
"5","Amritsar","47552","93","45860","1599"
"6","Bathinda","41945","127","40769","1049"
"7","Hoshiarpur","31076","47","30031","998"
"8","Gurdaspur","22497","74","21619","804"
"9","Fazilka","20297","11","19755","531"
"10","Pathankot","19442","375","18633","434"
"11","Muktsar","18812","5","18283","524"
"12","Kapurthala","17967","56","17355","556"
"13","Sangrur","15800","22","14902","876"
"14","Mansa","15617","6","15230","381"
"15","Ferozepur","14499","17","13978","504"
"16","Faridkot","13965","6","13639","320"
"17","Ropar","13030","19","12583","428"
"18","SBS Nagar","11502","15","11097","390"
"19","FG Sahib","8980","64","8578","338"
"20","Moga","8701","16","8451","234"
"21","Tarn Taran","8108","29","7698","381"
"22","Barnala","5965","9","5710","246"
"","Total","606927","2686","587588","16653"
