"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","277","110053","197","107686","3","2282","85"
"2","SAS Nagar","547","96236","408","94941","2","1150","145"
"3","Jalandhar","171","78441","131","76831","1","1579","31"
"4","Patiala","249","62280","226","60798","0","1457","25"
"5","Amritsar","96","59493","92","57800","0","1682","11"
"6","Bathinda","66","50934","59","49837","0","1088","9"
"7","Hoshiarpur","74","40914","74","39806","0","1096","12"
"8","Gurdaspur","27","26966","21","26094","1","865","7"
"9","Pathankot","55","24587","53","24086","0","495","6"
"10","Fazilka","33","23431","42","22881","0","545","5"
"11","Muktsar","13","22567","18","22028","0","539","0"
"12","Kapurthala","45","22080","40","21492","1","583","5"
"13","Ropar","38","17977","35","17518","0","455","4"
"14","Ferozepur","23","17922","21","17381","0","537","4"
"15","Mansa","6","17234","5","16841","1","393","0"
"16","Faridkot","33","16816","36","16477","0","338","1"
"17","Sangrur","1","14310","1","13574","0","735","1"
"18","SBS Nagar","25","13427","26","13014","0","409","4"
"19","FG Sahib","25","11859","12","11492","0","354","13"
"20","Moga","9","10997","9","10740","1","255","2"
"21","Tarn Taran","11","10909","5","10510","0","394","5"
"22","Barnala","8","7505","12","7155","0","349","1"
"23","Malerkotla","1","3969","0","3791","0","176","2"
"","Total","1833","760907","1523","742773","10","17756","378"
