"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)","","",""
"","","","","","","","","Coverage of Vaccination  
on 29-01-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1","Gurugram","1338","7706","245843","237181[2020]","96.48","956[3]","2664","3510","1432","4771361"
"2","Faridabad","475","4932","123487","117821[982]","95.41","734[1]","2137","5874","386","3597353"
"3","Hisar","272","1353","59573","57071[235]","95.80","1149[1]","1231","1381","309","2155511"
"4","Sonepat","274","1582","56511","54667[332]","96.74","262","1220","1408","185","2101788"
"5","Karnal","181","1364","47310","45366[302]","95.89","580[2]","819","1475","229","2170001"
"6","Panipat","76","1011","35447","33789[182]","95.32","647[1]","1338","2259","200","1844089"
"7","Panchkula","242","1382","42350","40571[194]","95.80","397","658","583","319","1015305"
"8","Ambala","221","2305","39541","36710[440]","92.84","526[1]","793","1527","358","1946094"
"9","Sirsa","145","619","32340","31206[188]","96.49","515","1026","908","162","1802456"
"10","Rohtak","182","942","30578","29085[232]","95.12","534","1006","1364","131","1486593"
"11","Yamunanagar","150","825","28618","27354[249]","95.58","439[2]","666","913","184","1723908"
"12","Bhiwani","114","1332","25042","23053[95]","92.06","657","613","979","100","1619603"
"13","Kurukshetra","115","668","25732","24694[55]","95.97","370[2]","816","3395","139","1335164"
"14","Mahindergarh","105","570","23506","22779[91]","96.91","157","565","666","207","1232951"
"15","Jind","113","494","23598","22567[34]","95.63","537","1176","1503","65","1552193"
"16","Rewari","119","591","23520","22708[125]","96.55","221","523","693","230","1425227"
"17","Jhajjar","79","455","22141","21350[70]","96.43","330","966","1267","151","1453063"
"18","Fatehabad","8","432","19531","18613[102]","95.30","486","700","852","98","1140740"
"19","Kaithal","81","827","13472","12292[171]","91.24","353","442","2748","68","1526932"
"20","Palwal","34","271","11755","11331[34]","96.39","153","927","2166","67","1371823"
"21","Charkhi Dadri","80","395","6395","5860[56]","91.63","140","272","609","38","800927"
"22","Nuh","41","141","5761","5494[34]","95.37","126","2776","5933","29","1086115"
"Haryana","","4445","30197","942051","901562[6223]","95.70","10269[13]","23334","42013","5087","39159197"
