"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109778","10","107489","2279"
"2","SAS Nagar","95690","10","94532","1148"
"3","Jalandhar","78287","10","76699","1578"
"4","Patiala","62037","7","60572","1458"
"5","Amritsar","59395","7","57706","1682"
"6","Bathinda","50871","5","49778","1088"
"7","Hoshiarpur","40836","11","39729","1096"
"8","Gurdaspur","26940","3","26073","864"
"9","Pathankot","24540","12","24033","495"
"10","Fazilka","23398","14","22839","545"
"11","Muktsar","22555","7","22009","539"
"12","Kapurthala","22033","2","21452","579"
"13","Ropar","17938","2","17481","455"
"14","Ferozepur","17899","2","17360","537"
"15","Mansa","17228","0","16836","392"
"16","Faridkot","16786","7","16441","338"
"17","Sangrur","14308","0","13573","735"
"18","SBS Nagar","13401","6","12988","407"
"19","FG Sahib","11834","0","11480","354"
"20","Moga","10987","2","10731","254"
"21","Tarn Taran","10899","2","10503","394"
"22","Barnala","7498","7","7143","348"
"23","Malerkotla","3967","0","3791","176"
"","Total","759105","126","741238","17741"
