"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","763","110539","587","108076","14","2293","170"
"2","SAS Nagar","1280","96969","992","95525","8","1156","288"
"3","Jalandhar","359","78629","264","76964","3","1581","84"
"4","Patiala","493","62512","390","60962","1","1458","92"
"5","Amritsar","211","59608","163","57871","2","1684","53"
"6","Bathinda","256","51124","133","49911","0","1088","125"
"7","Hoshiarpur","117","40957","108","39840","0","1096","21"
"8","Gurdaspur","65","27003","47","26120","1","865","18"
"9","Pathankot","119","24643","89","24122","0","495","26"
"10","Fazilka","86","23482","76","22915","0","545","22"
"11","Muktsar","33","22587","29","22039","0","539","9"
"12","Kapurthala","94","22124","71","21523","1","583","18"
"13","Ropar","100","18038","68","17551","0","455","32"
"14","Ferozepur","67","17966","50","17410","1","538","18"
"15","Mansa","52","17280","27","16863","1","393","24"
"16","Faridkot","117","16900","100","16541","1","339","20"
"17","Sangrur","31","14340","24","13597","0","735","8"
"18","SBS Nagar","45","13447","39","13027","0","409","11"
"19","FG Sahib","101","11934","76","11556","0","354","24"
"20","Moga","24","11011","20","10751","1","255","5"
"21","Tarn Taran","23","10919","13","10518","0","394","7"
"22","Barnala","31","7528","17","7160","0","349","19"
"23","Malerkotla","15","3983","13","3804","0","176","3"
"","Total","4482","763523","3396","744646","34","17780","1097"
