"","","","","","","","","","",""
"","","","","","","","","","",""
"","Districtwise Abstract of COVID-19","","","","","","","","",""
"","Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"","1","Bagalakote","0","41193","0","40820","4","0","369","0"
"","2","Ballari","2","117324","1","115483","52","0","1787","2"
"","3","Belagavi","0","101777","3","100757","12","0","1006","2"
"","4","Bengaluru Rural","0","80347","0","79428","9","0","910","0"
"","5","Bengaluru urban*","56","1874057","197","1855228","1839","0","16989","1"
"","6","Bidar","1","30047","2","29622","1","0","420","4"
"","7","Chamarajanagara","2","44356","1","43812","5","0","528","11"
"","8","Chikkaballapura","1","56153","0","55679","11","0","462","1"
"","9","Chikkamagaluru","2","58074","1","57664","3","0","407","0"
"","10","Chitradurga","1","46566","0","46322","3","0","241","0"
"","11","Dakshina 
Kannada","1","137147","6","135265","21","0","1851","10"
"","12","Davanagere","2","58159","0","57528","3","0","628","0"
"","13","Dharwada","0","86254","5","84829","10","0","1408","7"
"","14","Gadag","0","30693","0","30353","1","0","339","0"
"","15","Hassana","0","145727","3","144406","11","0","1308","2"
"","16","Haveri","0","27189","2","26509","6","0","674","0"
"","17","Kalaburagi","0","77595","0","76679","26","0","890","0"
"","18","Kodagu","4","50831","9","50468","8","0","354","1"
"","19","Kolara","1","64144","0","63468","9","0","667","0"
"","20","Koppala","0","41573","2","41027","2","0","544","0"
"","21  Mandya","","0","102399","0","101683","4","0","712","0"
"","22  Mysuru","","1","233766","19","231154","40","0","2572","0"
"","23","Raichuru","0","46299","1","45929","1","0","369","0"
"","24","Ramanagara","0","31283","2","30934","1","0","348","0"
"","25","Shivamogga","1","84603","0","83434","24","0","1144","1"
"","26","Tumakuru","0","160870","2","159644","3","0","1223","0"
"","27","Udupi","1","96419","3","95852","17","0","550","0"
"","28","Uttara Kannada","0","71989","4","71167","4","0","818","0"
"","29","Vijayapura","0","41217","0","40684","11","0","522","0"
"","30","Yadagiri","0","30024","0","29812","1","0","211","0"
"","31","Others*","0","36","0","33","0","0","3","0"
"","Total","","76","4068111","263","4025673","2142","0","40254","42"
"^
   
Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today.  
* Block cases approved today. 
 
Date: 25-10 -2022 
Page 5 of 7","","","","","","","","","",""
