"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","145","203","1255"
"Kollam","90","72","106"
"Pathanamthitta","76","71","363"
"Alappuzha","53","39","143"
"Kottayam","175","105","1259"
"Idukki","73","85","796"
"Ernakulam","187","213","1777"
"Thrissur","119","79","752"
"Palakkad","29","34","41"
"Malappuram","32","35","311"
"Kozhikode","99","20","624"
"Wayanad","41","27","364"
"Kannur","62","37","249"
"Kasaragod","12","14","24"
"Total","1193","1034","8064"
