"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","676","1069612","0","19569"
"2","Thane","13","118210","0","2289"
"3","TMC","97","190598","0","2163"
"4","Navi Mumbai","55","167696","0","2090"
"5","KDMC","14","176336","0","2974"
"6","Ulhasnagar MC","2","26539","0","680"
"7","Bhivandi Nijampur MC","0","13155","0","496"
"8","Mira Bhayandar MC","31","76867","0","1227"
"9","Palghar","0","64697","0","1244"
"10","Vasai Virar MC","12","99156","0","2163"
"11","Raigad","19","138500","0","3463"
"12","Panvel MC","14","106363","0","1482"
"","Mumbai circle total","933","2247729","0","39840"
"13","Nashik","0","183770","0","3814"
"14","Nashik MC","7","278152","0","4752"
