"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
(including 
Pvt. Lab)","Positive 
in last 24 
hours","Positive 
Cumulative 
(including 
Pvt. Lab)","",""
"Almora","362","537","238876","0","12242","251118","589"
"Bageshwar","808","621","213788","2","5770","219558","1446"
"Chamoli","884","512","292084","1","12253","304337","1408"
"Champawat","1552","988","264045","0","7621","271666","1397"
"Dehradun","1961","1797","1920404","25","112819","2033223","895"
"Haridwar","5821","5212","2208148","7","51606","2259754","1840"
"Nainital","1030","1834","574276","12","39404","613680","382"
"Pauri Garhwal","1075","1073","410003","0","17746","427749","869"
"Pithoragarh","964","690","231547","2","10303","241850","2941"
"Rudraprayag","568","425","200354","0","8806","209160","1252"
"Tehri Garhwal","542","665","305890","0","15847","321737","532"
"US Nagar","3088","1975","959860","9","37959","997819","1680"
"Uttarkashi","385","497","342964","1","12564","355528","787"
"Total","19040","16826","8162239","59","344940","8507179","16018"
