"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2421","112897","2173","109662","30","3009","226"
"2","SAS Nagar","4217","99906","3688","98221","15","1163","522"
"3","Jalandhar","2116","80381","1701","78039","10","1950","392"
"4","Patiala","1665","63745","1409","61792","5","1716","237"
"5","Amritsar","959","60514","766","58474","4","1844","196"
"6","Bathinda","1117","51984","934","50377","2","1425","182"
"7","Hoshiarpur","872","42014","695","40427","9","1409","178"
"8","Gurdaspur","270","27197","200","26273","3","867","57"
"9","Pathankot","406","24908","340","24355","3","520","33"
"10","Fazilka","297","23729","284","23087","0","621","21"
"11","Muktsar","162","22714","132","22142","0","539","33"
"12","Kapurthala","397","22426","314","21756","2","594","76"
"13","Ropar","781","18719","592","18075","4","459","185"
"14","Ferozepur","345","18238","264","17624","2","539","75"
"15","Mansa","165","17390","156","16992","1","393","5"
"16","Faridkot","310","17145","272","16693","3","413","39"
"17","Sangrur","236","14670","214","13787","4","864","19"
"18","SBS Nagar","331","13733","275","13263","0","409","61"
"19","FG Sahib","530","12445","462","11942","1","437","66"
"20","Moga","154","11153","114","10845","3","269","39"
"21","Tarn Taran","99","10999","66","10571","1","399","29"
"22","Barnala","150","7650","133","7271","2","359","20"
"23","Malerkotla","46","4049","40","3831","3","214","4"
"","Total","18046","778606","15224","755499","107","20412","2695"
