"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","1447","111923","1194","108683","20","2999","241"
"2","SAS Nagar","2402","98091","1794","96327","11","1159","605"
"3","Jalandhar","902","79167","581","76919","4","1944","304"
"4","Patiala","913","62993","685","61068","1","1712","213"
"5","Amritsar","455","60010","336","58044","2","1842","124"
"6","Bathinda","599","51466","361","49804","1","1424","238"
"7","Hoshiarpur","242","41384","187","39919","4","1404","61"
"8","Gurdaspur","138","27065","85","26158","2","866","41"
"9","Pathankot","245","24758","177","24192","0","517","49"
"10","Fazilka","161","23595","153","22956","0","621","18"
"11","Muktsar","78","22630","60","22070","0","539","21"
"12","Kapurthala","165","22194","136","21578","1","593","23"
"13","Ropar","295","18233","196","17679","1","456","98"
"14","Ferozepur","156","18049","130","17490","2","539","20"
"15","Mansa","107","17332","92","16928","1","393","11"
"16","Faridkot","189","17024","168","16589","2","412","23"
"17","Sangrur","112","14546","78","13651","1","861","34"
"18","SBS Nagar","140","13542","107","13095","0","409","38"
"19","FG Sahib","269","12184","200","11680","1","437","67"
"20","Moga","44","11043","40","10771","2","268","4"
"21","Tarn Taran","42","10942","28","10533","0","398","11"
"22","Barnala","75","7575","70","7208","0","357","10"
"23","Malerkotla","31","4035","26","3817","1","213","5"
"","Total","9207","769781","6884","747159","57","20363","2259"
