"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","54","81","512"
"Kollam","29","11","54"
"Pathanamthitta","20","26","125"
"Alappuzha","15","7","125"
"Kottayam","40","44","580"
"Idukki","15","37","306"
"Ernakulam","76","143","995"
"Thrissur","34","31","222"
"Palakkad","10","3","50"
"Malappuram","8","17","176"
"Kozhikode","28","45","343"
"Wayanad","6","22","105"
"Kannur","10","0","61"
"Kasaragod","1","4","28"
"Total","346","471","3682"
