,Unnamed: 0,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,0,2021-12-18,DL,Central Delhi,,,,,,,,2021-12-19 18:25:34.045895,,,,1442090,25100,1416506,31942026
1,1,2021-12-18,DL,East Delhi,,,,,,,,2021-12-19 18:25:34.045895,,,,1442090,25100,1416506,31942026
2,2,2021-12-18,DL,New Delhi,,,,,,,,2021-12-19 18:25:34.045895,,,,1442090,25100,1416506,31942026
3,3,2021-12-18,DL,North Delhi,,,,,,,,2021-12-19 18:25:34.045895,,,,1442090,25100,1416506,31942026
4,4,2021-12-18,DL,North East Delhi,,,,,,,,2021-12-19 18:25:34.045895,,,,1442090,25100,1416506,31942026
5,5,2021-12-18,DL,North West Delhi,,,,,,,,2021-12-19 18:25:34.045895,,,,1442090,25100,1416506,31942026
6,6,2021-12-18,DL,Shahdara,,,,,,,,2021-12-19 18:25:34.045895,,,,1442090,25100,1416506,31942026
7,7,2021-12-18,DL,South Delhi,,,,,,,,2021-12-19 18:25:34.045895,,,,1442090,25100,1416506,31942026
8,8,2021-12-18,DL,South East Delhi,,,,,,,,2021-12-19 18:25:34.045895,,,,1442090,25100,1416506,31942026
9,9,2021-12-18,DL,South West Delhi,,,,,,,,2021-12-19 18:25:34.045895,,,,1442090,25100,1416506,31942026
10,10,2021-12-18,DL,West Delhi,,,,,,,,2021-12-19 18:25:34.045895,,,,1442090,25100,1416506,31942026
11,11,2021-12-18,DL,Unknown,,,,1442090.0,25100.0,1416506.0,,2021-12-19 18:25:34.045895,,,,1442090,25100,1416506,31942026
