District,Recovered,Deceased,Active
लखनऊ,293332,2694,401
गोरखपरु,65681,866,224
गौतम बिु नगर,97523,490,216
लखीमपरु-खीरी,29858,299,108
बाराबकंी,23545,225,107
गाज़ियाबाद,84157,473,98
प्रयागराज,87242,1109,77
राय बरेली,21206,347,72
िाराणसी,97453,988,68
हरदोई,17189,368,57
लललतपरु,14656,134,57
झासी,43808,675,46
सलु्तानपरु,16814,144,44
आजमगढ़,19386,235,41
कानपरु नगर,91435,1923,40
मरेठ,88000,931,40
बागपत,11026,143,34
कुशीनगर,16193,235,33
जौनपरु,24324,244,30
अम्बडेकर नगर,5915,164,26
देवररया,22371,230,25
कन्नौज,10786,125,24
एटा,12081,100,23
उन्नाव,16850,257,23
फतहेपरु,8260,141,22
मथरुा,25553,406,21
आगरा,35656,464,20
अलीगढ,25455,113,17
अमरोहा,19275,207,17
सहारनपरु,38343,427,17
शाहजहांपरु,24373,447,17
हमीरपरु,6044,102,16
प्रतापगढ़,16699,163,16
बरेली,50070,377,15
फरु्रखाबाद,11866,197,15
क्रिरोजाबाद,10540,136,15
मनैपरुी,11457,189,15
कौशाम्बी,4864,72,13
इटावा,15763,296,12
जालौन,13834,208,12
बादा,12036,166,11
सोनभद्र,18635,257,11
बस्ती,12775,336,10
