"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","500","343","5399"
"Kollam","167","185","1110"
"Pathanamthitta","166","339","347"
"Alappuzha","106","55","516"
"Kottayam","310","193","3021"
"Idukki","61","126","1411"
"Ernakulam","333","601","4652"
"Thrissur","244","363","2377"
"Palakkad","86","62","701"
"Malappuram","97","107","1539"
"Kozhikode","339","427","3637"
"Wayanad","107","110","958"
"Kannur","176","249","1544"
"Kasaragod","56","42","823"
"Total","2748","3202","28035"
