"Districts","No. of Positive 
Cases Since 
01.01.2022","No. of Positive Cases 
Treated/ Cured Since 
01.01.2022","Active Cases in the 
District","Deaths Since 
01.01.2022","Migrated Positive 
Cases Since 
01.01.2022"
"Almora","4500","4111","6","4","379"
"Bageshwar","2087","2000","1","0","86"
"Chamoli","3195","3083","3","3","106"
"Champawat","1902","1859","22","1","20"
"Dehradun","32804","32210","58","173","363"
"Haridwar","12997","12678","61","24","234"
"Nainital","11295","11207","22","29","37"
"Pauri Garhwal","5259","4236","37","18","968"
"Pithoragarh","2557","2405","14","4","134"
"Rudraprayag","2699","2568","3","2","126"
"Tehri Garhwal","2349","2019","1","5","324"
"U.S. Nagar","8779","8487","20","5","267"
"Uttarkashi","1636","1461","2","5","168"
"Total","92059","88324","250","273","3212"
