"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","Districtwise Abstract of COVID-19","","","","","","","","","",""
"","Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#",""
"","1","Bagalakote","0","35187","0","34852","2","0","333","0",""
"","2","Ballari","9","97869","2","96060","122","0","1687","0",""
"","3","Belagavi","12","80166","6","79110","108","0","948","0",""
"","4","Bengaluru Rural","6","62170","1","61233","45","0","892","0",""
"","5","Bengaluru Urban","923","1265351","125","1240274","8671","3","16405","1",""
"","6","Bidar","0","24354","0","23943","3","0","404","4",""
"","7","Chamarajanagara","2","33124","1","32597","12","0","504","11",""
"","8","Chikkaballapura","0","44009","0","43562","14","0","432","1",""
"","9","Chikkamagaluru","4","51472","2","51035","39","0","398","0",""
"","10","Chitradurga","8","36784","1","36551","22","0","211","0",""
"","11","Dakshina 
Kannada","63","116493","18","114560","231","1","1695","7",""
"","12","Davanagere","2","51036","0","50413","15","0","608","0",""
"","13","Dharwada","15","61541","2","60152","62","0","1325","2",""
"","14","Gadag","0","26075","0","25755","1","0","319","0",""
"","15","Hassana","6","112354","3","110989","101","0","1262","2",""
"","16","Haveri","0","21961","0","21318","0","0","643","0",""
"","17","Kalaburagi","9","62009","1","61151","35","0","823","0",""
"","18","Kodagu","12","37800","67","37330","131","0","338","1",""
"","19","Kolara","4","47167","12","46464","60","0","643","0",""
"","20","Koppala","0","35209","0","34672","9","0","528","0",""
"","21","Mandya","10","73996","1","73264","75","0","657","0",""
"","22","Mysuru","20","180324","8","177767","129","0","2428","0",""
"","23","Raichuru","0","39992","0","39659","0","0","333","0",""
"","24","Ramanagara","3","24226","0","23896","7","0","323","0",""
"","25","Shivamogga","2","69737","3","68571","76","0","1090","0",""
"","26","Tumakuru","12","121361","10","120154","63","1","1144","0",""
"","27","Udupi","54","77220","8","76535","194","0","491","0",""
"","28","Uttara Kannada","8","56682","4","55858","46","1","778","0",""
"","29","Vijayapura","3","36303","0","35790","18","0","495","0",""
"","30","Yadagiri","0","27549","0","27342","1","0","206","0",""
"","31","Others*","0","36","0","33","0","0","3","0",""
"","Total","","1187","3009557","275","2960890","10292","6","38346","29",""
"","*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 02-01-2022 
 Page 5 of 8","","","","","","","","","",""
"","","","","","","","","","","",""
