"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109728","30","107421","2277"
"2","SAS Nagar","95646","64","94437","1145"
"3","Jalandhar","78237","26","76633","1578"
"4","Patiala","62002","10","60535","1457"
"5","Amritsar","59382","22","57678","1682"
"6","Bathinda","50843","17","49738","1088"
"7","Hoshiarpur","40803","24","39684","1095"
"8","Gurdaspur","26924","10","26051","863"
"9","Pathankot","24505","21","23989","495"
"10","Fazilka","23361","15","22801","545"
"11","Muktsar","22540","1","22001","538"
"12","Kapurthala","22013","8","21426","579"
"13","Ropar","17929","4","17470","455"
"14","Ferozepur","17889","7","17351","531"
"15","Mansa","17226","0","16834","392"
"16","Faridkot","16727","12","16377","338"
"17","Sangrur","14305","0","13570","735"
"18","SBS Nagar","13389","2","12980","407"
"19","FG Sahib","11831","2","11475","354"
"20","Moga","10980","2","10724","254"
"21","Tarn Taran","10887","10","10483","394"
"22","Barnala","7488","17","7126","345"
"23","Malerkotla","3967","1","3790","176"
"","Total","758602","305","740574","17723"
