"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","3049","113525","3000","110489","37","3016","20"
"2","SAS Nagar","5316","101005","5222","99755","20","1168","82"
"3","Jalandhar","2786","81051","2701","79039","38","1978","34"
"4","Patiala","2109","64189","2068","62451","11","1722","16"
"5","Amritsar","1376","60931","1359","59067","6","1846","18"
"6","Bathinda","1547","52414","1527","50970","4","1427","17"
"7","Hoshiarpur","1285","42394","1234","40966","19","1419","9"
"8","Gurdaspur","345","27272","324","26397","7","871","4"
"9","Pathankot","512","25014","472","24487","4","521","6"
"10","Fazilka","486","23918","479","23282","0","621","15"
"11","Muktsar","276","22828","270","22280","3","542","6"
"12","Kapurthala","542","22571","528","21969","7","599","3"
"13","Ropar","1125","19063","1107","18590","4","459","14"
"14","Ferozepur","468","18361","456","17816","3","540","5"
"15","Mansa","190","17415","185","17021","1","392","2"
"16","Faridkot","378","17214","379","16800","3","414","0"
"17","Sangrur","275","14709","266","13839","9","869","1"
"18","SBS Nagar","461","13863","461","13449","0","409","5"
"19","FG Sahib","707","12622","698","12178","1","437","7"
"20","Moga","243","11242","234","10965","6","272","5"
"21","Tarn Taran","150","11050","140","10645","1","399","6"
"22","Barnala","211","7711","205","7343","7","364","4"
"23","Malerkotla","60","4063","58","3849","3","214","0"
"","Total","23897","784425","23373","763647","194","20499","279"
