"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","Districtwise Abstract of COVID-19","","","","","","","","","",""
"","Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#",""
"","1","Bagalakote","40","40529","45","39614","557","0","358","0",""
"","2","Ballari","126","114936","435","111796","1399","2","1739","2",""
"","3","Belagavi","250","99395","154","93581","4822","1","992","0",""
"","4","Bengaluru Rural","21","79166","35","77725","536","0","905","0",""
"","5","Bengaluru Urban","1293","1769809","3833","1737367","15679","10","16762","1",""
"","6","Bidar","23","29722","35","29169","133","2","416","4",""
"","7","Chamarajanagara","62","43385","140","42295","559","1","520","11",""
"","8","Chikkaballapura","50","55444","58","54479","508","0","456","1",""
"","9","Chikkamagaluru","21","57015","64","56239","371","0","405","0",""
"","10","Chitradurga","91","45843","197","44490","1120","1","233","0",""
"","11","Dakshina 
Kannada","62","134904","180","132241","840","4","1814","9",""
"","12","Davanagere","19","57410","45","56499","293","0","618","0",""
"","13","Dharwada","69","83685","312","81323","1009","2","1351","2",""
"","14","Gadag","38","30485","70","29981","170","0","334","0",""
"","15","Hassana","60","143475","324","141500","674","1","1299","2",""
"","16","Haveri","19","26671","98","25819","186","3","666","0",""
"","17","Kalaburagi","43","76314","271","74734","707","0","873","0",""
"","18","Kodagu","99","48794","360","47808","640","1","345","1",""
"","19","Kolara","32","62819","72","61879","280","0","660","0",""
"","20","Koppala","18","41195","121","40277","382","0","536","0",""
"","21","Mandya","42","101202","202","99971","532","0","699","0",""
"","22","Mysuru","197","228435","465","224434","1454","2","2547","0",""
"","23","Raichuru","22","45359","111","44648","354","2","357","0",""
"","24","Ramanagara","20","29638","37","29149","143","0","346","0",""
"","25","Shivamogga","155","82752","265","80440","1187","1","1124","1",""
"","26","Tumakuru","142","159135","661","155919","2013","2","1203","0",""
"","27","Udupi","67","95146","161","93857","758","1","531","0",""
"","28","Uttara Kannada","62","70867","81","69370","692","1","805","0",""
"","29","Vijayapura","54","40843","123","39767","569","1","507","0",""
"","30","Yadagiri","5","29888","33","29499","180","0","209","0",""
"","31","Others*","0","36","0","33","0","0","3","0",""
"","Total","","3202","3924297","8988","3845903","38747","38","39613","34",""
"","*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 12-02-2022 
 Page 5 of 24","","","","","","","","","",""
"","","","","","","","","","","",""
