"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","5","40654","18","40044","244","0","366","0"
"2","Ballari","31","115372","48","113178","440","4","1752","2"
"3","Belagavi","11","99915","96","98473","443","0","997","2"
"4","Bengaluru Rural","4","79243","19","78230","107","0","906","0"
"5","Bengaluru Urban","346","1776173","839","1753711","5633","8","16828","1"
"6","Bidar","3","29787","10","29338","27","0","418","4"
"7","Chamarajanagara","9","43565","25","42869","163","0","522","11"
"8","Chikkaballapura","4","55580","63","54931","189","0","459","1"
"9","Chikkamagaluru","8","57171","35","56631","134","0","406","0"
"10","Chitradurga","16","46116","59","45597","284","0","235","0"
"11","Dakshina 
Kannada","15","135301","64","133190","271","2","1830","10"
"12","Davanagere","7","57491","21","56794","75","0","622","0"
"13","Dharwada","7","83970","29","82422","177","2","1369","2"
"14","Gadag","2","30562","6","30205","22","0","335","0"
"15","Hassana","21","143761","10","142253","204","0","1302","2"
"16","Haveri","1","26814","48","26092","54","1","668","0"
"17","Kalaburagi","11","76498","29","75394","228","1","876","0"
"18","Kodagu","28","49128","83","48558","219","1","350","1"
"19","Kolara","2","62922","13","62180","79","0","663","0"
"20","Koppala","6","41256","19","40553","166","0","537","0"
"21","Mandya","7","101422","31","100582","137","0","703","0"
"22","Mysuru","26","229134","126","226143","436","0","2555","0"
"23","Raichuru","6","45424","15","44991","74","0","359","0"
"24","Ramanagara","12","29752","17","29348","58","0","346","0"
"25","Shivamogga","34","83149","52","81576","445","1","1127","1"
"26","Tumakuru","20","159642","52","157812","620","0","1210","0"
"27","Udupi","21","95484","30","94758","186","0","540","0"
"28","Uttara Kannada","12","71043","42","70144","91","0","808","0"
"29","Vijayapura","3","40959","20","40357","88","1","514","0"
"30","Yadagiri","1","29941","13","29665","66","0","210","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","679","3937265","1932","3886052","11360","21","39816","37"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 21-02-2022 
 Page 5 of 10","","","","","","","","",""
