"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","2,13,692"
"2","Number of persons tested positive today in Tamil Nadu","29,958"
"","Passengers returned from other states / countries by 
Road tested positive today","Andhra Pradesh - 7 
Bangladesh - 4 
Karnataka - 2 
West Bengal - 2 
Assam - 1 
Kerala - 1 
Jharkhand - 1"
"","Total","29,976"
"3","Total Number of persons tested positive till date","32,24,236"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,50,931/ 
6,10,54,111@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,41,762/ 
6,00,24,712"
"6","No. of Male / Female / Transgender tested positive today","17,147/12,829/0"
"7","No. of Male / Female / Transgender tested positive till date","18,80,813/13,43,385/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","331 (69 Govt+ 
262 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","27,507/ 
29,73,185"
"10","Total number of deaths today/ till date","47(26 Private &  
21 Govt) /37,359"
