"Districts","No. of Positive 
Cases Since 
01.01.2022","No. of Positive Cases 
Treated/ Cured Since 
01.01.2022","Active Cases in the 
District","Deaths Since 
01.01.2022","Migrated Positive 
Cases Since 
01.01.2022"
"Almora","4548","4145","0","4","399"
"Bageshwar","2096","2003","2","0","91"
"Chamoli","3231","3112","10","3","106"
"Champawat","1915","1894","0","1","20"
"Dehradun","33830","33082","204","177","367"
"Haridwar","13261","12962","40","25","234"
"Nainital","11464","11337","43","29","55"
"Pauri Garhwal","5299","4307","5","18","969"
"Pithoragarh","2565","2423","0","4","138"
"Rudraprayag","2716","2585","0","2","129"
"Tehri Garhwal","2398","2035","1","5","357"
"U.S. Nagar","8858","8546","14","5","293"
"Uttarkashi","1703","1515","9","5","174"
"Total","93884","89946","328","278","3332"
