"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","63","1059870","0","19563"
"2","Thane","1","118057","0","2287"
"3","TMC","9","189690","0","2163"
"4","Navi Mumbai","1","166878","0","2090"
"5","KDMC","1","176201","0","2973"
"6","Ulhasnagar MC","0","26525","0","679"
"7","Bhivandi Nijampur MC","0","13148","0","496"
"8","Mira Bhayandar MC","3","76647","0","1227"
"9","Palghar","0","64668","0","1244"
"10","Vasai Virar MC","0","98954","0","2163"
"11","Raigad","1","138316","0","3463"
"12","Panvel MC","2","106072","0","1482"
"","Mumbai circle total","81","2235026","0","39830"
"13","Nashik","0","183746","0","3813"
"14","Nashik MC","3","278101","0","4752"
