"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","89424","1651","85653","2120"
"2","SAS Nagar","70951","1830","68045","1076"
"3","Jalandhar","64857","1146","62209","1502"
"4","Patiala","52789","3490","47931","1368"
"5","Amritsar","48410","923","45888","1599"
"6","Bathinda","42284","450","40785","1049"
"7","Hoshiarpur","31413","372","30042","999"
"8","Gurdaspur","22772","326","21641","805"
"9","Fazilka","20351","62","19758","531"
"10","Pathankot","20095","923","18738","434"
"11","Muktsar","18831","22","18284","525"
"12","Kapurthala","18140","207","17377","556"
"13","Sangrur","15885","104","14905","876"
"14","Mansa","15637","25","15231","381"
"15","Ferozepur","14607","123","13980","504"
"16","Faridkot","14018","53","13644","321"
"17","Ropar","13173","152","12593","428"
"18","SBS Nagar","11561","66","11105","390"
"19","FG Sahib","9347","425","8584","338"
"20","Moga","8771","82","8455","234"
"21","Tarn Taran","8212","132","7699","381"
"22","Barnala","6008","50","5710","248"
"","Total","617536","12614","588257","16665"
