"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on   
08-11-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","9","181483","180511[10]","99.46","922","50","3964","11240","3615472"
"2","Faridabad","1","99911","99183[3]","99.27","716","12","3224","8531","2531752"
"3","Hisar","0","53995","52859","97.90","1136","0","1573","5484","1341880"
"4","Sonepat","1","47139","46884","99.46","254","1","1381","4199","1419707"
"5","Karnal","0","40038","39484","98.62","552","2","1255","6471","1468421"
"6","Panipat","0","31150","30512[1]","97.95","638","0","1168","2655","1118293"
"7","Panchkula","2","30777","30391[3]","98.75","379","7","279","1828","743596"
"8","Ambala","0","30150","29641","98.31","509","0","559","6124","1461385"
"9","Sirsa","0","29282","28774","98.27","508","0","1105","2662","1073767"
"10","Rohtak","0","25910","25352","97.85","534","7","2306","4212","1001418"
"11","Yamunanagar","0","24635","24217","98.30","414","4","1080","3987","1182103"
"12","Bhiwani","0","22409","21757","97.09","652","0","1168","7834","1088332"
"13","Kurukshetra","0","22148","21791","98.39","357","0","610","2596","865444"
"14","Mahindergarh","0","21689","21534","99.29","155","0","925","2995","852914"
"15","Jind","0","21209","20676","97.49","533","0","1593","4302","977847"
"16","Rewari","0","20328","20106","98.91","221","1","719","3206","953425"
"17","Jhajjar","0","18849","18515","98.23","328","0","1153","4105","996726"
"18","Fatehabad","1","17876","17394","97.30","481","1","661","2221","783547"
"19","Kaithal","0","11244","10898","96.92","346","0","800","2657","842273"
"20","Palwal","0","11026","10872","98.60","153","1","1727","3909","844463"
"21","Charkhi Dadri","0","5078","4939","97.26","139","0","189","2506","636125"
"22","Nuh","0","5014","4891","97.55","123","0","1306","603","442629"
"Total","","14","771340","761181[17]","98.68","10050","86","28745","94327","26241519"
