"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","35186","0","34850","3","0","333","0"
"2","Ballari","0","97843","1","96054","102","0","1687","0"
"3","Belagavi","5","80117","3","79082","87","0","948","0"
"4","Bengaluru Rural","0","62140","1","61225","23","0","892","0"
"5","Bengaluru Urban","172","1261728","155","1239277","6063","2","16387","1"
"6","Bidar","0","24352","0","23943","1","0","404","4"
"7","Chamarajanagara","0","33117","0","32588","14","0","504","11"
"8","Chikkaballapura","3","44007","0","43557","17","0","432","1"
"9","Chikkamagaluru","1","51450","2","51010","42","0","398","0"
"10","Chitradurga","0","36767","3","36526","31","0","210","0"
"11","Dakshina 
Kannada","12","116298","17","114453","145","0","1693","7"
"12","Davanagere","1","51030","0","50412","10","0","608","0"
"13","Dharwada","4","61492","4","60132","33","0","1325","2"
"14","Gadag","0","26074","0","25755","0","0","319","0"
"15","Hassana","2","112278","1","110953","62","0","1261","2"
"16","Haveri","0","21961","0","21317","1","0","643","0"
"17","Kalaburagi","2","61975","0","61143","9","0","823","0"
"18","Kodagu","37","37725","22","37167","219","1","338","1"
"19","Kolara","10","47127","6","46430","54","0","643","0"
"20","Koppala","0","35209","0","34671","10","0","528","0"
"21","Mandya","1","73938","4","73249","34","0","655","0"
"22","Mysuru","7","180231","18","177699","104","0","2428","0"
"23","Raichuru","0","39992","1","39654","5","0","333","0"
"24","Ramanagara","1","24222","0","23892","7","0","323","0"
"25","Shivamogga","1","69723","1","68555","78","0","1090","0"
"26","Tumakuru","15","121317","6","120080","96","0","1141","0"
"27","Udupi","7","77047","3","76497","59","0","491","0"
"28","Uttara Kannada","8","56657","6","55747","135","1","775","0"
"29","Vijayapura","0","36289","0","35789","5","0","495","0"
"30","Yadagiri","0","27548","0","27342","0","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","289","3004876","254","2959082","7449","4","38316","29"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
 
Date: 27-12-2021 
 Page 5 of 8","","","","","","","","",""
