District,Recovered,Deceased,Active
गौतम बिु नगर,100694,490,530
गाज़ियाबाद,85504,473,243
लखनऊ,294319,2694,119
आगरा,35886,465,52
िाराणसी,97638,988,47
हमीरपरु,6094,102,32
कानपरु नगर,91575,1923,31
लललतपरु,14790,134,28
प्रयागराज,87432,1116,25
मरेठ,88178,932,19
राय बरेली,21338,348,15
अमरोहा,19298,208,14
बलुदंशहर,26360,253,13
जालौन,13862,209,11
लखीमपरु-खीरी,30026,300,11
मथरुा,25604,406,11
इटावा,15781,296,9
फरु्रखाबाद,11881,197,9
मरुादाबाद,46084,368,9
बादा,12064,166,7
गोरखपरु,65973,866,6
औरैय्या,10795,211,5
बरेली,50107,377,5
गोंडा,14157,285,5
कन्नौज,10845,126,5
मनैपरुी,11490,189,5
सोनभद्र,18663,257,5
सलु्तानपरु,16869,144,5
क्रिरोजाबाद,10580,136,4
झासी,43911,675,4
मजुफ्फरनगर,38335,277,4
शामली,16700,48,4
अयोध्या,18681,293,3
चदंौली,17544,379,3
फतहेपरु,8314,141,3
जौनपरु,24385,244,3
सहारनपरु,38383,428,3
उन्नाव,16924,257,3
अलीगढ,25496,113,2
बाराबकंी,23712,227,2
चचत्रकूट,7779,79,2
हरदोई,17289,373,2
कुशीनगर,16240,235,2
