"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","92141","4256","85759","2126"
"2","SAS Nagar","74065","4363","68624","1078"
"3","Jalandhar","66369","2181","62684","1504"
"4","Patiala","55795","4620","49798","1377"
"5","Amritsar","49892","2227","46065","1600"
"6","Bathinda","43090","1149","40888","1053"
"7","Hoshiarpur","32437","1348","30087","1002"
"8","Gurdaspur","23329","754","21767","808"
"9","Pathankot","21155","1469","19250","436"
"10","Fazilka","20470","170","19768","532"
"11","Muktsar","18986","165","18296","525"
"12","Kapurthala","18558","558","17444","556"
"13","Sangrur","16194","403","14913","878"
"14","Mansa","15768","149","15237","382"
"15","Ferozepur","14884","388","13992","504"
"16","Faridkot","14291","306","13664","321"
"17","Ropar","13762","692","12642","428"
"18","SBS Nagar","11743","238","11115","390"
"19","FG Sahib","9830","631","8860","339"
"20","Moga","8936","212","8490","234"
"21","Tarn Taran","8414","326","7707","381"
"22","Barnala","6134","176","5710","248"
"","Total","636243","26781","592760","16702"
