"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
persons 
hospitalised"
"East Garo Hills","0","0","0","2049","17","3","0"
"East Jaintia Hills","0","0","0","2618","38","4","0"
"East Khasi Hills","0","1","0","47069","1075","7","5"
"Eastern West Khasi Hills","0","0","0","140","8","0","0"
"North Garo Hills","0","0","0","1880","9","0","0"
"Ri-Bhoi","0","1","0","10308","98","5","0"
"South Garo Hills","0","0","0","1343","13","0","0"
"South West Garo Hills","0","0","0","2094","20","3","0"
"South West Khasi Hills","0","0","0","2698","20","1","0"
"West Garo Hills","0","1","0","10720","80","2","0"
"West Jaintia Hills","0","3","0","7189","139","2","0"
"West Khasi Hills","0","2","0","5651","76","3","0"
"Total","0","8","0","93759","1593","30","5"
